Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2
SOUTH DAKOTA,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEVADA,2019,7,,-,0,,,-,,-,,-,9,,3,,47,,"NEVADA
(39.491833, -117.070159)",
NORTHERN MARIANA ISLANDS,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
IOWA,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
ALASKA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,7,,-,0,,,-,,-,,-,0,,,-,4,,"UTAH
(39.359772, -111.584173)",
OKLAHOMA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
PENNSYLVANIA,2019,7,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
KENTUCKY,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
SOUTH ATLANTIC,2019,7,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
TOTAL,2019,7,,-,2,,,-,1,,91,,363,,1756,,2622,,,TOTAL
AMERICAN SAMOA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
TENNESSEE,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
OHIO,2019,7,,-,0,,,-,,-,,-,5,,1,,3,,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NON-US RESIDENTS,2019,7,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
MONTANA,2019,7,,-,0,,,-,,-,,-,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2019,7,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
MISSISSIPPI,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NEW JERSEY,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
VIRGINIA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
MASSACHUSETTS,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
COLORADO,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
WEST NORTH CENTRAL,2019,7,,-,1,,,-,,-,,-,5,,3,,24,,,WEST NORTH CENTRAL
NEW YORK,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
ALABAMA,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
WYOMING,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ARIZONA,2019,7,,-,1,,,-,,-,75,,295,,1335,,1325,,"ARIZONA
(34.869712, -111.760902)",
HAWAII,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
US TERRITORIES,2019,7,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
NEW ENGLAND,2019,7,,-,0,,,-,,-,,-,2,,,-,,-,,NEW ENGLAND
MOUNTAIN,2019,7,,-,1,,,-,,-,75,,295,,1344,,1391,,,MOUNTAIN
IDAHO,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH DAKOTA,2019,7,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TEXAS,2019,7,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
ALABAMA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
TEXAS,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
WYOMING,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEW JERSEY,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
NEW HAMPSHIRE,2019,8,,-,0,,,-,,-,,-,1,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
MONTANA,2019,8,,-,0,,,-,,-,,-,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
ILLINOIS,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
NORTHERN MARIANA ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
TOTAL,2019,8,,-,2,,,-,2,,338,,365,,2179,,2906,,,TOTAL
ALASKA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
UTAH,2019,8,,-,0,,,-,,-,,-,0,,,-,4,,"UTAH
(39.359772, -111.584173)",
NORTH DAKOTA,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
MASSACHUSETTS,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
TENNESSEE,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
MARYLAND,2019,8,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
FLORIDA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
ARKANSAS,2019,8,,-,0,,,-,,-,1,,1,,2,,3,,"ARKANSAS
(34.748745, -92.275105)",
GEORGIA,2019,8,,-,1,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
KANSAS,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
MICHIGAN,2019,8,,-,1,,,-,,-,,-,3,,1,,6,,"MICHIGAN
(44.66399, -84.711206)",
PUERTO RICO,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
EAST NORTH CENTRAL,2019,8,,-,1,,,-,,-,,-,6,,2,,16,,,EAST NORTH CENTRAL
IOWA,2019,8,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
US RESIDENTS,2019,8,,-,2,,,-,2,,338,,365,,2179,,2906,,,US RESIDENTS
MAINE,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
ARIZONA,2019,8,,-,1,,,-,,-,321,,291,,1646,,1459,,"ARIZONA
(34.869712, -111.760902)",
MISSOURI,2019,8,,-,0,,,-,,-,,-,3,,3,,4,,"MISSOURI
(38.636168, -92.566292)",
NEBRASKA,2019,8,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
EAST SOUTH CENTRAL,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
NEW ENGLAND,2019,8,,-,0,,,-,,-,,-,2,,,-,2,,,NEW ENGLAND
VERMONT,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
NEVADA,2019,8,,-,0,,,-,,-,,-,9,,3,,56,,"NEVADA
(39.491833, -117.070159)",
NEW YORK CITY,2019,8,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
WEST NORTH CENTRAL,2019,8,,-,1,,,-,,-,,-,6,,3,,28,,,WEST NORTH CENTRAL
OKLAHOMA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
SOUTH ATLANTIC,2019,8,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
MOUNTAIN,2019,8,,-,1,,,-,,-,321,,292,,1656,,1535,,,MOUNTAIN
SOUTH CAROLINA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
GUAM,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
DELAWARE,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
WEST VIRGINIA,2019,8,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
NEW MEXICO,2019,8,,-,0,,,-,,-,,-,4,,6,,12,,"NEW MEXICO
(34.520396, -106.244402)",
OHIO,2019,8,,-,0,,,-,,-,,-,5,,1,,4,,"OHIO
(40.056807, -82.405897)",
WEST SOUTH CENTRAL,2019,8,,-,0,,,-,,-,1,,2,,2,,5,,,WEST SOUTH CENTRAL
OREGON,2019,8,,-,0,,,-,,-,,-,3,,1,,2,,"OREGON
(44.567912, -120.156945)",
MISSISSIPPI,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
RHODE ISLAND,2019,8,,-,0,,,-,,-,,-,1,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
HAWAII,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
WASHINGTON,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
VIRGINIA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
CALIFORNIA,2019,8,,-,1,,,-,1,,16,,183,,515,,1318,,"CALIFORNIA
(37.640735, -121.002435)",
MINNESOTA,2019,8,,-,0,,,-,,-,,-,5,,,-,23,,"MINNESOTA
(46.357661, -94.793397)",
COLORADO,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
KENTUCKY,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
LOUISIANA,2019,8,,-,0,,,-,,-,,-,1,,,-,2,,"LOUISIANA
(31.2931, -92.463284)",
MIDDDLE ATLANTIC,2019,8,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDDLE ATLANTIC
PACIFIC,2019,8,,-,1,,,-,1,,16,,183,,516,,1320,,,PACIFIC
PENNSYLVANIA,2019,8,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
NORTH CAROLINA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
WISCONSIN,2019,8,,-,0,,,-,,-,,-,3,,,-,6,,"WISCONSIN
(44.395526, -89.834513)",
DISTRICT OF COLUMBIA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
INDIANA,2019,8,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
AMERICAN SAMOA,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
CONNECTICUT,2019,8,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
NEW YORK,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
NEW YORK CITY,2019,9,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
PUERTO RICO,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
WISCONSIN,2019,9,,-,0,,,-,,-,,-,3,,,-,7,,"WISCONSIN
(44.395526, -89.834513)",
MOUNTAIN,2019,9,,-,1,,,-,,-,209,,326,,1870,,1716,,,MOUNTAIN
ALASKA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(64.836661, -147.738891)",
NEVADA,2019,9,,-,0,,,-,,-,,-,6,,3,,62,,"NEVADA
(39.491833, -117.070159)",
MASSACHUSETTS,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.268546, -72.085064)",
EAST NORTH CENTRAL,2019,9,,-,1,,,-,,-,1,,6,,3,,19,,,EAST NORTH CENTRAL
NEW ENGLAND,2019,9,,-,0,,,-,,-,,-,1,,,-,2,,,NEW ENGLAND
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
RHODE ISLAND,2019,9,,-,0,,,-,,-,,-,1,,,-,1,,"RHODE ISLAND
(41.707447, -71.522488)",
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
OHIO,2019,9,,-,0,,,-,,-,1,,5,,2,,4,,"OHIO
(40.056807, -82.405897)",
NEW HAMPSHIRE,2019,9,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
LOUISIANA,2019,9,,-,0,,,-,,-,,-,1,,,-,3,,"LOUISIANA
(31.2931, -92.463284)",
OKLAHOMA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
NEW JERSEY,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
WYOMING,2019,9,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
NEBRASKA,2019,9,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
MONTANA,2019,9,,-,0,,,-,,-,,-,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2019,9,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
MISSOURI,2019,9,,-,0,,,-,,-,,-,3,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
SOUTH DAKOTA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
US TERRITORIES,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
IDAHO,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(43.680635, -114.364237)",
NORTH CAROLINA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
CONNECTICUT,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.544654, -72.651713)",
VIRGINIA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
OREGON,2019,9,,-,0,,,-,,-,,-,3,,1,,5,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2019,9,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
DELAWARE,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
UTAH,2019,9,,-,0,,,-,,-,,-,0,,,-,4,,"UTAH
(39.359772, -111.584173)",
MIDDLE ATLANTIC,2019,9,,-,1,,,-,1,,,-,0,,,-,,-,MIDDLE ATLANTIC,
SOUTH ATLANTIC,2019,9,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
PENNSYLVANIA,2019,9,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
ILLINOIS,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
COLORADO,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.841772, -106.132562)",
SOUTH CAROLINA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(34.009286, -81.037094)",
DISTRICT OF COLUMBIA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
ARKANSAS,2019,9,,-,0,,,-,,-,,-,1,,2,,3,,"ARKANSAS
(34.748745, -92.275105)",
WEST SOUTH CENTRAL,2019,9,,-,0,,,-,,-,,-,2,,2,,6,,,WEST SOUTH CENTRAL
US RESIDENTS,2019,9,,-,2,,,-,2,,241,,381,,2536,,3254,,,US RESIDENTS
NEW MEXICO,2019,9,,-,0,,,-,,-,,-,4,,7,,15,,"NEW MEXICO
(34.520396, -106.244402)",
ARIZONA,2019,9,,-,1,,,-,,-,209,,326,,1859,,1631,,"ARIZONA
(34.869712, -111.760902)",
WEST NORTH CENTRAL,2019,9,,-,1,,,-,,-,,-,6,,3,,30,,,WEST NORTH CENTRAL
EAST SOUTH CENTRAL,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MICHIGAN,2019,9,,-,1,,,-,,-,,-,3,,1,,8,,"MICHIGAN
(44.66399, -84.711206)",
KENTUCKY,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
MINNESOTA,2019,9,,-,0,,,-,,-,,-,5,,,-,24,,"MINNESOTA
(46.357661, -94.793397)",
HAWAII,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
KANSAS,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
CALIFORNIA,2019,9,,-,1,,,-,1,,31,,186,,657,,1476,,"CALIFORNIA
(37.640735, -121.002435)",
TENNESSEE,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
WEST VIRGINIA,2019,9,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
FLORIDA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MARYLAND,2019,9,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
TEXAS,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
IOWA,2019,9,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
AMERICAN SAMOA,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
VERMONT,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
WASHINGTON,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
MAINE,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
MISSISSIPPI,2019,9,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
NEW YORK,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.826892, -75.544286)",
TOTAL,2019,9,,-,2,,,-,2,,241,,381,,2536,,3254,,,TOTAL
PACIFIC,2019,9,,-,1,,,-,1,,31,,186,,658,,1481,,,PACIFIC
EAST SOUTH CENTRAL,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL
MISSISSIPPI,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.738663, -89.537312)",
SOUTH DAKOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.35371, -100.373709)",
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES
UTAH,2019,10,,-,0,,,-,,-,,-,2,,,-,5,,"UTAH
(39.359772, -111.584173)",
PENNSYLVANIA,2019,10,,-,0,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.789676, -77.858055)",
OHIO,2019,10,,-,0,,,-,,-,,-,5,,2,,5,,"OHIO
(40.056807, -82.405897)",
GEORGIA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.836038, -83.631709)",
TOTAL,2019,10,,-,2,,,-,2,,201,,396,,2838,,3565,,,TOTAL
NEBRASKA,2019,10,,-,0,,,-,,-,,-,1,,,-,1,,"NEBRASKA
(41.640503, -99.367122)",
ALABAMA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.839182, -86.631125)",
MARYLAND,2019,10,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(39.290443, -76.612333)",
CALIFORNIA,2019,10,,-,1,,,-,1,,13,,186,,761,,1622,,"CALIFORNIA
(37.640735, -121.002435)",
WISCONSIN,2019,10,,-,0,,,-,,-,,-,3,,,-,7,,"WISCONSIN
(44.395526, -89.834513)",
WEST SOUTH CENTRAL,2019,10,,-,1,,,-,,-,,-,2,,2,,7,,,WEST SOUTH CENTRAL
MOUNTAIN,2019,10,,-,1,,,-,,-,188,,328,,2067,,1876,,,MOUNTAIN
PUERTO RICO,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",
VERMONT,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(43.622479, -72.51927)",
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MAINE,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.252223, -68.986647)",
ARIZONA,2019,10,,-,1,,,-,,-,188,,326,,2044,,1786,,"ARIZONA
(34.869712, -111.760902)",
NEW HAMPSHIRE,2019,10,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
NEW YORK CITY,2019,10,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY
KANSAS,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.345528, -98.201847)",
MISSOURI,2019,10,,-,0,,,-,,-,,-,3,,3,,5,,"MISSOURI
(38.636168, -92.566292)",
OKLAHOMA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.468494, -97.521264)",
TEXAS,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.827233, -99.423022)",
EAST NORTH CENTRAL,2019,10,,-,1,,,-,,-,,-,6,,4,,20,,,EAST NORTH CENTRAL
NORTH CAROLINA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.47995, -79.180571)",
DELAWARE,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
LOUISIANA,2019,10,,-,1,,,-,,-,,-,1,,,-,4,,"LOUISIANA
(31.2931, -92.463284)",
MONTANA,2019,10,,-,0,,,-,,-,,-,2,,1,,4,,"MONTANA
(47.062617, -109.430168)",
INDIANA,2019,10,,-,0,,,-,,-,,-,2,,,-,,-,"INDIANA
(39.76845, -86.156212)",
VIRGINIA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.542699, -78.45822)",
NEW JERSEY,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.104655, -74.386686)",
WASHINGTON,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.517368, -120.467672)",
ARKANSAS,2019,10,,-,0,,,-,,-,,-,1,,2,,3,,"ARKANSAS
(34.748745, -92.275105)",
OREGON,2019,10,,-,0,,,-,,-,,-,1,,1,,5,,"OREGON
(44.567912, -120.156945)",
NORTH DAKOTA,2019,10,,-,0,,,-,,-,,-,1,,,-,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
TENNESSEE,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
NEW MEXICO,2019,10,,-,0,,,-,,-,,-,4,,7,,16,,"NEW MEXICO
(34.520396, -106.244402)",
MICHIGAN,2019,10,,-,1,,,-,,-,,-,3,,2,,8,,"MICHIGAN
(44.66399, -84.711206)",
NEVADA,2019,10,,-,0,,,-,,-,,-,5,,15,,65,,"NEVADA
(39.491833, -117.070159)",
HAWAII,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.30992, -157.858158)",
IOWA,2019,10,,-,1,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.46942, -93.815856)",
AMERICAN SAMOA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA
PACIFIC,2019,10,,-,1,,,-,1,,13,,186,,762,,1627,,,PACIFIC
DISTRICT OF COLUMBIA,2019,10,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
SOUTH ATLANTIC,2019,10,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC
WEST NORTH CENTRAL,2019,10,,-,1,,,-,,-,,-,6,,3,,33,,,WEST NORTH CENTRAL
US RESIDENTS,2019,10,,-,2,,,-,2,,201,,396,,2838,,3565,,,US RESIDENTS
MINNESOTA,2019,10,,-,0,,,-,,-,,-,5,,,-,27,,"MINNESOTA
(46.357661, -94.793397)",
WYOMING,2019,10,,-,0,,,-,,-,,-,1,,,-,,-,"WYOMING
(43.23558, -108.110518)",
KENTUCKY,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.64591, -84.774043)",
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS
WEST VIRGINIA,2019,10,,-,1,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
