Reporting Area,MMWR Year,MMWR Week,"Chlamydia trachomatis infection, Current week","Chlamydia trachomatis infection, Current week, flag","Chlamydia trachomatis infection, Previous 52 weeks Med","Chlamydia trachomatis infection, Previous 52 weeks Med, flag","Chlamydia trachomatis infection, Previous 52 weeks Max","Chlamydia trachomatis infection, Previous 52 weeks Max, flag","Chlamydia trachomatis infection, Cum 2015","Chlamydia trachomatis infection, Cum 2015, flag","Chlamydia trachomatis infection, Cum 2014","Chlamydia trachomatis infection, Cum 2014, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Med","Coccidioidomycosis, Previous 52 weeks Med, flag","Coccidioidomycosis, Previous 52 weeks Max","Coccidioidomycosis, Previous 52 weeks Max, flag","Coccidioidomycosis, Cum 2015","Coccidioidomycosis, Cum 2015, flag","Coccidioidomycosis, Cum 2014","Coccidioidomycosis, Cum 2014, flag",Location 1,Location 2
NEW YORK CITY,2015,25,510,,1201,,1375,,29296,,28085,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.714268, -74.005969)",
MOUNTAIN,2015,25,323,,1792,,2339,,40845,,46172,,144,,91,,159,,2875,,3427,,,
ILLINOIS,2015,25,31,,1165,,1443,,22935,,31324,,,N,0,,0,,,N,,N,"ILLINOIS
(40.485012, -88.997709)",
NEW YORK,2015,25,737,,763,,1166,,18628,,17038,,,N,0,,0,,,N,,N,"NEW YORK
(42.827004, -75.543966)",
KANSAS,2015,25,60,,213,,351,,5421,,5228,,,N,0,,0,,,N,,N,"KANSAS
(38.347743, -98.200778)",
OKLAHOMA,2015,25,54,,304,,456,,5982,,9829,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
PENNSYLVANIA,2015,25,694,,995,,1353,,22422,,23294,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.793734, -77.860697)",
KENTUCKY,2015,25,135,,321,,600,,6752,,7487,,,-,0,,0,,,-,,N,"KENTUCKY
(37.645973, -84.774968)",
MISSOURI,2015,25,147,,561,,636,,13346,,12832,,,-,0,,1,,1,,8,,"MISSOURI
(38.635791, -92.566299)",
MISSISSIPPI,2015,25,,-,328,,542,,3703,,8584,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
E.S. CENTRAL,2015,25,280,,1683,,2339,,31197,,44501,,,-,0,,0,,,-,,-,,
DELAWARE,2015,25,82,,88,,166,,2104,,1876,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
VIRGIN ISL.,2015,25,,-,14,,29,,82,,380,,,-,0,,0,,,-,,-,VIRGIN ISL.,
WEST VIRGINIA,2015,25,6,,78,,139,,1595,,2279,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
NEBRASKA,2015,25,74,,146,,250,,3780,,3654,,,-,0,,1,,5,,2,,"NEBRASKA
(41.641044, -99.365719)",
W.N. CENTRAL,2015,25,310,,1692,,1858,,37249,,40333,,,-,2,,6,,51,,59,,,
NORTH CAROLINA,2015,25,782,,994,,2547,,32474,,25637,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622, -79.15925)",
TEXAS,2015,25,,-,2630,,3367,,63948,,62507,,,N,0,,0,,,N,,N,"TEXAS
(31.82724, -99.426768)",
UNITED STATES,2015,25,9890,,27948,,30823,,641916,,674596,,153,,138,,198,,3892,,4651,,,
HAWAII,2015,25,,-,127,,162,,2544,,3011,,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
NEW ENGLAND,2015,25,487,,882,,1244,,21301,,21890,,,-,0,,1,,,-,3,,,
COLORADO,2015,25,,-,443,,989,,11356,,10095,,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
ARKANSAS,2015,25,,-,281,,505,,4255,,7463,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
NEW JERSEY,2015,25,241,,597,,709,,14681,,14034,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130571, -74.273688)",
IDAHO,2015,25,118,,102,,133,,2573,,2548,,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
WISCONSIN,2015,25,256,,464,,556,,10557,,10798,,,-,0,,1,,3,,5,,"WISCONSIN
(44.393191, -89.816366)",
ARIZONA,2015,25,,-,573,,873,,10591,,15081,,143,,91,,159,,2823,,3345,,"ARIZONA
(34.865974, -111.763807)",
RHODE ISLAND,2015,25,103,,83,,243,,2340,,2199,,,-,0,,1,,,-,1,,"RHODE ISLAND
(41.708281, -71.522466)",
GEORGIA,2015,25,303,,1048,,1212,,24119,,24675,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683, -83.627579)",
PACIFIC,2015,25,1093,,4477,,4971,,106215,,108975,,8,,40,,62,,944,,1125,,,
OREGON,2015,25,321,,305,,402,,7831,,7421,,,-,0,,1,,4,,2,,"OREGON
(44.56745, -120.155029)",
INDIANA,2015,25,241,,546,,920,,12903,,13062,,,N,0,,0,,,N,,N,"INDIANA
(39.766913, -86.149956)",
UNITED STATES,2015,2,10577,,27045,,29456,,28176,,43399,,76,,162,,245,,191,,367,,,
NEW ENGLAND,2015,2,235,,851,,1177,,345,,1445,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,2,2145,,3435,,3953,,4900,,4891,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,2,1346,,3929,,4619,,3753,,5721,,,-,1,,3,,,-,2,,,
W.N. CENTRAL,2015,2,341,,1634,,1856,,1297,,2702,,,-,2,,6,,,-,1,,,
S. ATLANTIC,2015,2,4638,,5473,,6985,,8330,,8092,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,2,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,2,394,,1763,,2562,,1108,,3637,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,2,374,,3869,,4640,,3232,,5825,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,2,544,,1794,,2428,,1765,,2934,,60,,109,,180,,165,,276,,,
PACIFIC,2015,2,560,,4127,,5091,,3446,,8152,,16,,43,,81,,26,,88,,,
AMER. SAMOA,2015,2,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
C.N.M.I.,2015,2,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2015,2,,-,14,,28,,,-,25,,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW MEXICO,2015,25,64,,220,,376,,5710,,5503,,,-,0,,3,,6,,14,,"NEW MEXICO
(34.520881, -106.240578)",
PUERTO RICO,2015,25,,-,71,,317,,2376,,2644,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
W.S. CENTRAL,2015,25,251,,3795,,4495,,83370,,91498,,,-,0,,1,,1,,1,,,
LOUISIANA,2015,25,197,,437,,2170,,9185,,11699,,,-,0,,1,,1,,1,,"LOUISIANA
(31.312663, -92.445678)",
E.N. CENTRAL,2015,25,1193,,4158,,4950,,92274,,101147,,,-,1,,2,,17,,33,,,
C.N.M.I.,2015,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
ALABAMA,2015,25,,-,527,,695,,8636,,13543,,,N,0,,0,,,N,,N,"ALABAMA
(32.840572, -86.631857)",
MICHIGAN,2015,25,411,,895,,1222,,20864,,20333,,,-,0,,2,,10,,21,,"MICHIGAN
(44.661322, -84.714386)",
GUAM,2015,25,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
MASSACHUSETTS,2015,25,255,,446,,534,,10618,,9344,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MAINE,2015,25,83,,80,,123,,1863,,1403,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
WASHINGTON,2015,25,,-,444,,595,,9341,,12550,,,N,0,,0,,,N,,N,"WASHINGTON
(47.522288, -120.470028)",
TENNESSEE,2015,25,145,,578,,761,,12106,,14887,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
CONNECTICUT,2015,25,46,,242,,399,,5753,,6285,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.562661, -72.64984)",
VERMONT,2015,25,,-,35,,58,,647,,1102,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
ALASKA,2015,25,20,,98,,142,,2004,,2873,,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
NORTH DAKOTA,2015,25,,-,62,,89,,1241,,1655,,,-,0,,2,,2,,4,,"NORTH DAKOTA
(47.475319, -100.118428)",
FLORIDA,2015,25,831,,1671,,2119,,40956,,38902,,,N,0,,0,,,N,,N,"FLORIDA
(28.932043, -81.928958)",
S. ATLANTIC,2015,25,3771,,5674,,7441,,144438,,137629,,1,,0,,2,,4,,3,,,
IOWA,2015,25,26,,230,,275,,5295,,5598,,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
NEVADA,2015,25,,-,192,,419,,4301,,6712,,,-,1,,5,,23,,39,,"NEVADA
(39.493242, -117.071839)",
WYOMING,2015,37,,-,36,,96,,1202,,1343,,,-,0,,3,,10,,2,,"WYOMING
(43.23558, -108.110518)",
CALIFORNIA,2015,37,1619,,3540,,3973,,130117,,124405,,8,,47,,86,,1798,,1593,,"CALIFORNIA
(37.640735, -121.002435)",
INDIANA,2015,37,343,,546,,920,,19305,,19742,,,N,0,,0,,,N,,N,"INDIANA
(39.76845, -86.156212)",
KANSAS,2015,37,27,,216,,353,,7981,,7891,,,N,0,,0,,,N,,N,"KANSAS
(38.345528, -98.201847)",
WISCONSIN,2015,37,311,,455,,555,,15691,,16084,,,-,0,,2,,5,,5,,"WISCONSIN
(44.395526, -89.834513)",
NEW JERSEY,2015,37,221,,599,,718,,21856,,20851,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.121601, -74.321404)",
NEW ENGLAND,2015,37,454,,892,,1193,,32328,,32507,,,-,0,,1,,,-,4,,,
OREGON,2015,37,363,,313,,402,,11537,,10986,,,-,0,,1,,8,,2,,"OREGON
(44.567912, -120.156945)",
MID. ATLANTIC,2015,37,2490,,3584,,4077,,130364,,123661,,,-,0,,0,,,-,,-,,
WEST VIRGINIA,2015,37,58,,72,,139,,2464,,3397,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.668501, -80.709421)",
GEORGIA,2015,37,581,,1088,,1264,,40310,,36930,,,N,0,,0,,,N,,N,"GEORGIA
(32.836038, -83.631709)",
TEXAS,2015,37,2020,,2631,,3371,,97243,,92983,,,N,0,,0,,,N,,N,"TEXAS
(31.827233, -99.423022)",
MINNESOTA,2015,37,2,,389,,511,,12918,,13984,,,-,1,,7,,62,,67,,"MINNESOTA
(44.943719, -93.094281)",
TENNESSEE,2015,37,185,,536,,751,,13277,,22130,,,N,0,,0,,,N,,N,"TENNESSEE
(35.681402, -85.774444)",
GUAM,2015,37,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
C.N.M.I.,2015,37,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2015,37,,-,15,,29,,497,,542,,,-,0,,0,,,-,,-,VIRGIN ISL.,
HAWAII,2015,37,,-,132,,167,,4637,,4497,,,N,0,,0,,,N,,N,"HAWAII
(21.30992, -157.858158)",
MICHIGAN,2015,37,510,,891,,1139,,31472,,30658,,,-,0,,2,,14,,30,,"MICHIGAN
(44.66399, -84.711206)",
E.N. CENTRAL,2015,37,1661,,4080,,4950,,142775,,152210,,,-,1,,2,,26,,48,,,
GUAM,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"GUAM
(13.480999, 144.731498)",
GEORGIA,2015,26,341,,1052,,1212,,25145,,25202,,,N,0,,0,,,N,,N,"GEORGIA
(32.839683, -83.627579)",
NORTH CAROLINA,2015,26,769,,988,,2547,,33243,,26739,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622, -79.15925)",
PENNSYLVANIA,2015,26,347,,995,,1353,,22824,,24168,,,N,0,,0,,,N,,N,"PENNSYLVANIA
(40.793734, -77.860697)",
W.S. CENTRAL,2015,26,1699,,3790,,4713,,88461,,95809,,1,,0,,1,,2,,1,,,
WYOMING,2015,26,,-,27,,96,,545,,394,,,-,0,,1,,1,,2,,"WYOMING
(43.235541, -108.109827)",
OREGON,2015,26,165,,306,,402,,7998,,7726,,,-,0,,1,,4,,2,,"OREGON
(44.56745, -120.155029)",
VIRGINIA,2015,26,502,,689,,1056,,17971,,18265,,,N,0,,0,,,N,,N,"VIRGINIA
(37.542681, -78.457889)",
UTAH,2015,26,45,,155,,202,,3937,,4120,,,-,1,,3,,17,,23,,"UTAH
(39.360701, -111.587128)",
MICHIGAN,2015,26,303,,883,,1222,,21457,,21279,,,-,0,,2,,11,,22,,"MICHIGAN
(44.661322, -84.714386)",
TEXAS,2015,26,1674,,2606,,3367,,68843,,65523,,,N,0,,0,,,N,,N,"TEXAS
(31.82724, -99.426768)",
SOUTH CAROLINA,2015,26,495,,527,,837,,13587,,13606,,,N,0,,0,,,N,,N,"SOUTH CAROLINA
(33.998822, -81.045366)",
MINNESOTA,2015,26,,-,350,,430,,7157,,9729,,,-,1,,6,,44,,49,,"MINNESOTA
(46.355649, -94.7942)",
UNITED STATES,2015,3,13282,,27019,,29385,,54122,,68201,,57,,158,,245,,275,,541,,,
NEW ENGLAND,2015,3,4,,857,,1177,,365,,2297,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,3,2381,,3431,,3954,,8658,,8621,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,3,1406,,3924,,4628,,6788,,10254,,1,,1,,3,,1,,5,,,
W.N. CENTRAL,2015,3,374,,1660,,1857,,2561,,4487,,,-,2,,6,,,-,2,,,
S. ATLANTIC,2015,3,3983,,5483,,6985,,13549,,12911,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,3,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,3,1034,,1759,,2562,,2757,,5609,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,3,2247,,3875,,4665,,8266,,9832,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,3,731,,1794,,2428,,2832,,4793,,53,,108,,180,,239,,404,,,
PACIFIC,2015,3,1122,,4111,,4745,,8346,,9397,,3,,44,,81,,35,,130,,,
AMER. SAMOA,2015,3,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
C.N.M.I.,2015,3,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
VIRGIN ISL.,2015,3,,-,14,,28,,,-,36,,,-,0,,0,,,-,,-,VIRGIN ISL.,
NEW MEXICO,2015,26,87,,220,,376,,5949,,5730,,,-,0,,3,,6,,15,,"NEW MEXICO
(34.520881, -106.240578)",
UNITED STATES,2015,26,10683,,27974,,30827,,670775,,702287,,158,,139,,201,,4112,,4801,,,
RHODE ISLAND,2015,26,,-,87,,243,,2340,,2271,,,-,0,,0,,,-,2,,"RHODE ISLAND
(41.708281, -71.522466)",
C.N.M.I.,2015,26,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,C.N.M.I.,
WEST VIRGINIA,2015,26,30,,78,,139,,1631,,2353,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
WASHINGTON,2015,26,304,,444,,595,,10120,,12998,,,N,0,,0,,,N,,N,"WASHINGTON
(47.522288, -120.470028)",
NORTH DAKOTA,2015,26,3,,62,,89,,1397,,1720,,,-,0,,2,,2,,4,,"NORTH DAKOTA
(47.475319, -100.118428)",
PACIFIC,2015,26,1124,,4491,,4976,,111357,,113246,,1,,41,,67,,1013,,1156,,,
PUERTO RICO,2015,26,,-,71,,317,,2439,,2703,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.248289, -66.49989)",
FLORIDA,2015,26,694,,1671,,2121,,42393,,40681,,,N,0,,0,,,N,,N,"FLORIDA
(28.932043, -81.928958)",
AMER. SAMOA,2015,26,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
ARIZONA,2015,26,,-,581,,873,,11189,,15649,,156,,91,,158,,2970,,3451,,"ARIZONA
(34.865974, -111.763807)",
NEBRASKA,2015,26,66,,146,,250,,3933,,3801,,,-,0,,1,,5,,2,,"NEBRASKA
(41.641044, -99.365719)",
S. ATLANTIC,2015,26,2911,,5674,,7441,,148782,,142899,,,-,0,,2,,4,,5,,,
ALASKA,2015,26,14,,98,,142,,2032,,2976,,,N,0,,0,,,N,,N,"ALASKA
(64.845078, -147.72206)",
ILLINOIS,2015,26,17,,1148,,1443,,23126,,32590,,,N,0,,0,,,N,,N,"ILLINOIS
(40.485012, -88.997709)",
VERMONT,2015,26,,-,35,,58,,647,,1126,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
MASSACHUSETTS,2015,26,186,,446,,534,,10974,,9695,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
SOUTH DAKOTA,2015,26,11,,74,,103,,1645,,2130,,,N,0,,0,,,N,,N,"SOUTH DAKOTA
(44.35313, -100.373529)",
KANSAS,2015,26,39,,213,,351,,5619,,5481,,,N,0,,0,,,N,,N,"KANSAS
(38.347743, -98.200778)",
ALABAMA,2015,26,584,,532,,1221,,12386,,14071,,,N,0,,0,,,N,,N,"ALABAMA
(32.840572, -86.631857)",
WISCONSIN,2015,26,216,,462,,556,,10978,,11274,,,-,0,,2,,4,,5,,"WISCONSIN
(44.393191, -89.816366)",
NEW JERSEY,2015,26,182,,598,,712,,15223,,14564,,,N,0,,0,,,N,,N,"NEW JERSEY
(40.130571, -74.273688)",
IDAHO,2015,26,65,,103,,133,,2641,,2644,,,N,0,,0,,,N,,N,"IDAHO
(43.682632, -114.363727)",
E.N. CENTRAL,2015,26,1087,,4135,,4950,,95011,,105420,,,-,1,,2,,19,,34,,,
NEW YORK CITY,2015,26,547,,1203,,1375,,30619,,29153,,,N,0,,0,,,N,,N,"NEW YORK CITY
(40.714268, -74.005969)",
IOWA,2015,26,,-,230,,275,,5475,,5813,,,N,0,,0,,,N,,N,"IOWA
(42.469401, -93.816487)",
MOUNTAIN,2015,26,516,,1792,,2345,,42375,,47962,,156,,91,,158,,3022,,3538,,,
OHIO,2015,26,345,,1073,,1249,,26107,,26750,,,-,0,,2,,4,,7,,"OHIO
(40.060212, -82.404257)",
DIST. OF COL.,2015,26,,-,93,,336,,2235,,2599,,,-,0,,1,,,-,,-,DIST. OF COL.,
MARYLAND,2015,26,,-,500,,936,,10393,,11502,,,-,0,,2,,4,,5,,"MARYLAND
(39.290583, -76.60926)",
NEW HAMPSHIRE,2015,26,,-,46,,110,,80,,1626,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
MISSOURI,2015,26,114,,563,,636,,13741,,13382,,,-,0,,1,,1,,8,,"MISSOURI
(38.635791, -92.566299)",
VIRGIN ISL.,2015,26,,-,13,,29,,280,,382,,,-,0,,0,,,-,,-,VIRGIN ISL.,
HAWAII,2015,26,,-,130,,166,,3030,,3119,,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
MISSISSIPPI,2015,26,,-,328,,554,,4143,,9070,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
INDIANA,2015,26,206,,546,,920,,13343,,13527,,,N,0,,0,,,N,,N,"INDIANA
(39.766913, -86.149956)",
E.S. CENTRAL,2015,26,932,,1682,,2339,,35735,,46565,,,-,0,,0,,,-,,-,,
OKLAHOMA,2015,26,25,,307,,456,,6178,,10236,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
COLORADO,2015,26,314,,441,,989,,11806,,10564,,,N,0,,0,,,N,,N,"COLORADO
(38.843843, -106.133609)",
MONTANA,2015,26,,-,81,,126,,1943,,1948,,,-,0,,2,,5,,7,,"MONTANA
(47.066528, -109.424416)",
TENNESSEE,2015,26,131,,570,,761,,12237,,15543,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
CALIFORNIA,2015,26,641,,3483,,3978,,88177,,86427,,1,,40,,67,,1009,,1154,,"CALIFORNIA
(37.638642, -120.999996)",
MID. ATLANTIC,2015,26,1924,,3557,,3930,,88140,,85624,,,-,0,,0,,,-,,-,,
MAINE,2015,26,69,,80,,123,,1932,,1484,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
NEW YORK,2015,26,848,,763,,1166,,19474,,17739,,,N,0,,0,,,N,,N,"NEW YORK
(42.827004, -75.543966)",
CONNECTICUT,2015,26,2,,246,,399,,5974,,6504,,,N,0,,0,,,N,,N,"CONNECTICUT
(41.562661, -72.64984)",
ARKANSAS,2015,26,,-,279,,505,,4255,,7785,,,-,0,,0,,,-,,-,"ARKANSAS
(34.74865, -92.27449)",
W.N. CENTRAL,2015,26,233,,1688,,1859,,38967,,42056,,,-,2,,6,,52,,63,,,
KENTUCKY,2015,26,217,,318,,600,,6969,,7881,,,-,0,,0,,,-,,N,"KENTUCKY
(37.645973, -84.774968)",
NEW ENGLAND,2015,26,257,,882,,1244,,21947,,22706,,,-,0,,1,,,-,4,,,
LOUISIANA,2015,26,,-,422,,2170,,9185,,12265,,1,,0,,1,,2,,1,,"LOUISIANA
(31.312663, -92.445678)",
DELAWARE,2015,26,80,,88,,166,,2184,,1952,,,-,0,,0,,,-,,-,"DELAWARE
(39.008834, -75.577736)",
NEVADA,2015,26,5,,191,,419,,4365,,6913,,,-,1,,5,,23,,40,,"NEVADA
(39.493242, -117.071839)",
UNITED STATES,2015,4,14212,,27318,,29617,,81079,,93301,,110,,155,,249,,453,,569,,,
NEW ENGLAND,2015,4,144,,857,,1177,,802,,3068,,,-,0,,2,,,-,,-,,
MID. ATLANTIC,2015,4,2334,,3436,,3954,,12221,,11847,,,-,0,,0,,,-,,-,,
E.N. CENTRAL,2015,4,1289,,3943,,4638,,10059,,14423,,,-,1,,3,,1,,5,,,
W.N. CENTRAL,2015,4,482,,1648,,1858,,4189,,6256,,,-,2,,6,,,-,4,,,
S. ATLANTIC,2015,4,3878,,5486,,6985,,19384,,17446,,,-,0,,2,,,-,,-,,
DIST. OF COL.,2015,4,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,DIST. OF COL.,
E.S. CENTRAL,2015,4,685,,1754,,2562,,4504,,7890,,,-,0,,0,,,-,,-,,
W.S. CENTRAL,2015,4,2870,,3882,,4714,,12378,,13118,,,-,0,,1,,,-,,-,,
MOUNTAIN,2015,4,860,,1788,,2428,,4000,,6868,,95,,105,,180,,370,,534,,,
PACIFIC,2015,4,1670,,4306,,4962,,13542,,12385,,15,,44,,68,,82,,26,,,
AMER. SAMOA,2015,4,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
VIRGIN ISL.,2015,4,,-,14,,28,,,-,54,,,-,0,,0,,,-,,-,VIRGIN ISL.,
MARYLAND,2015,37,738,,505,,936,,17180,,17617,,,-,0,,1,,4,,8,,"MARYLAND
(39.290443, -76.612333)",
IDAHO,2015,37,75,,104,,149,,3864,,3748,,,N,0,,0,,,N,,N,"IDAHO
(43.680635, -114.364237)",
NEW YORK CITY,2015,37,653,,1210,,1352,,43484,,41830,,,N,0,,0,,,N,,N,NEW YORK CITY,
AMER. SAMOA,2015,37,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
NEW HAMPSHIRE,2015,37,,-,5,,110,,257,,2371,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.657736, -71.500736)",
ILLINOIS,2015,37,63,,1205,,1390,,38063,,46975,,,N,0,,0,,,N,,N,"ILLINOIS
(40.477092, -88.993221)",
MISSOURI,2015,37,173,,553,,636,,19438,,19499,,,-,0,,1,,1,,11,,"MISSOURI
(38.636168, -92.566292)",
FLORIDA,2015,37,1067,,1717,,2128,,62207,,58217,,,N,0,,0,,,N,,N,"FLORIDA
(28.915325, -81.922409)",
MONTANA,2015,37,72,,79,,114,,2857,,2882,,,-,0,,2,,7,,8,,"MONTANA
(47.062617, -109.430168)",
WEST VIRGINIA,2015,27,26,,78,,139,,1669,,2425,,,N,0,,0,,,N,,N,"WEST VIRGINIA
(38.665511, -80.712638)",
KENTUCKY,2015,27,217,,318,,600,,7185,,8146,,,-,0,,0,,,-,,N,"KENTUCKY
(37.645973, -84.774968)",
HAWAII,2015,27,,-,130,,166,,3030,,3233,,,N,0,,0,,,N,,N,"HAWAII
(21.304852, -157.857748)",
WYOMING,2015,27,,-,27,,96,,545,,927,,,-,0,,1,,1,,2,,"WYOMING
(43.235541, -108.109827)",
MAINE,2015,27,73,,80,,123,,2005,,1538,,,N,0,,0,,,N,,N,"MAINE
(45.254229, -68.985026)",
VERMONT,2015,27,10,,35,,58,,771,,1168,,,N,0,,0,,,N,,N,"VERMONT
(43.625384, -72.517637)",
NEW HAMPSHIRE,2015,27,9,,49,,110,,244,,1672,,,-,0,,1,,,-,2,,"NEW HAMPSHIRE
(43.655953, -71.500357)",
TENNESSEE,2015,27,183,,540,,727,,7624,,16118,,,N,0,,0,,,N,,N,"TENNESSEE
(35.680941, -85.774487)",
E.S. CENTRAL,2015,27,400,,1500,,2505,,31338,,48302,,,-,0,,0,,,-,,-,,
MISSISSIPPI,2015,27,,-,310,,554,,4143,,9494,,,N,0,,0,,,N,,N,"MISSISSIPPI
(32.745513, -89.538027)",
AMER. SAMOA,2015,27,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,AMER. SAMOA,
S. ATLANTIC,2015,27,4313,,5719,,7546,,158177,,147221,,,-,0,,2,,4,,5,,,
OREGON,2015,27,270,,306,,402,,8269,,7904,,,-,0,,1,,4,,2,,"OREGON
(44.56745, -120.155029)",
MINNESOTA,2015,27,1,,350,,430,,7735,,10065,,,-,1,,6,,44,,51,,"MINNESOTA
(46.355649, -94.7942)",
NEVADA,2015,27,48,,192,,419,,5083,,7067,,,-,1,,5,,23,,43,,"NEVADA
(39.493242, -117.071839)",
MOUNTAIN,2015,27,720,,1799,,2349,,44383,,49952,,169,,92,,159,,3195,,3629,,,
ARIZONA,2015,27,,-,581,,873,,11561,,16171,,169,,91,,158,,3137,,3536,,"ARIZONA
(34.865974, -111.763807)",
NORTH CAROLINA,2015,27,905,,988,,2547,,34149,,27297,,,N,0,,0,,,N,,N,"NORTH CAROLINA
(35.46622, -79.15925)",
RHODE ISLAND,2015,27,,-,87,,243,,2340,,2277,,,-,0,,0,,,-,2,,"RHODE ISLAND
(41.708281, -71.522466)",
MID. ATLANTIC,2015,27,2212,,3561,,3930,,91260,,88482,,,-,0,,0,,,-,,-,,
OKLAHOMA,2015,27,50,,307,,456,,6527,,10595,,,N,0,,0,,,N,,N,"OKLAHOMA
(35.472031, -97.521068)",
MASSACHUSETTS,2015,27,266,,447,,534,,11458,,9897,,,-,0,,0,,,-,,-,"MASSACHUSETTS
(42.276874, -72.082687)",
MARYLAND,2015,27,478,,504,,936,,11360,,11874,,,-,0,,2,,4,,5,,"MARYLAND
(39.290583, -76.60926)",
NEW ENGLAND,2015,27,438,,890,,1244,,23018,,23206,,,-,0,,1,,,-,4,,,
PUERTO RICO,2015,27,,-,67,,317,,2491,,2799,,,N,0,,0,,,N,,N,"PUERTO RICO
(18.24829, -66.499887)",
MISSOURI,2015,27,152,,568,,636,,14299,,13849,,,-,0,,1,,1,,8,,"MISSOURI
(38.635791, -92.566299)",
