Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2021†","Cholera, Cum 2021†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2021†","Coccidioidomycosis, Cum 2021†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
GEORGIA,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20213632,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20213612,
ARKANSAS,2021,36,,-,0,,,-,,-,,-,1,,3,,5,,ARKANSAS,,20213644,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20213641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20213627,POINT (-100.230491 44.43614)
WYOMING,2021,36,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20213656,POINT (-107.55145 42.999627)
MISSOURI,2021,36,,-,0,,,-,,-,,-,2,,11,,13,,MISSOURI,,20213624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,36,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20213609,
CALIFORNIA,2021,36,,-,0,,,-,,-,25,,200,,4094,,4154,,CALIFORNIA,,20213659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20213637,POINT (-80.613729 38.642579)
FLORIDA,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20213631,POINT (-82.420978 28.260731)
MONTANA,2021,36,,-,0,,,-,,-,,-,3,,17,,12,,MONTANA,,20213652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,36,,-,1,,,-,,-,,-,7,,95,,102,,,WEST NORTH CENTRAL,20213620,
MASSACHUSETTS,2021,36,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20213605,POINT (-71.481104 42.151077)
MOUNTAIN,2021,36,,-,0,,,-,,-,151,,377,,8231,,6647,,,MOUNTAIN,20213648,
INDIANA,2021,36,,-,0,,,-,,-,,-,1,,3,,11,,INDIANA,,20213616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,36,,-,0,,,-,,-,,-,1,,1,,2,,,NON-US RESIDENTS,20213669,
US TERRITORIES,2021,36,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20213663,
TOTAL,2021,41,,-,2,,1,,,-,220,,598,,14053,,13969,,,TOTAL,20214170,
US RESIDENTS,2021,41,,-,2,,1,,,-,220,,598,,14051,,13967,,,US RESIDENTS,20214101,
NEW HAMPSHIRE,2021,41,,-,0,,,-,,-,,-,1,,,-,1,,NEW HAMPSHIRE,,20214106,POINT (-71.57139 43.680429)
NEW YORK,2021,41,,-,1,,,-,,-,,-,0,,,-,,-,NEW YORK,,20214111,POINT (-75.59655 42.921241)
PACIFIC,2021,41,,-,1,,1,,,-,59,,221,,4780,,5754,,,PACIFIC,20214157,
WEST SOUTH CENTRAL,2021,41,,-,0,,,-,,-,,-,2,,9,,11,,,WEST SOUTH CENTRAL,20214143,
NEBRASKA,2021,41,,-,0,,,-,,-,,-,1,,3,,15,,NEBRASKA,,20214125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,41,,-,0,,,-,,-,,-,1,,7,,7,,,EAST SOUTH CENTRAL,20214138,
NORTH DAKOTA,2021,41,,-,0,,,-,,-,,-,1,,2,,8,,NORTH DAKOTA,,20214126,POINT (-100.46931 47.446305)
NEVADA,2021,41,,-,0,,,-,,-,,-,8,,118,,139,,NEVADA,,20214153,POINT (-114.916992 39.283294)
ILLINOIS,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20214115,POINT (-89.148632 40.124144)
IOWA,2021,41,,-,1,,,-,,-,,N,,NC,,N,,N,IOWA,,20214121,POINT (-93.500061 42.074659)
TEXAS,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20214147,POINT (-99.317341 31.447238)
ALASKA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20214158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20214130,POINT (-77.016275 38.904785)
WASHINGTON,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20214162,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,41,,-,0,,,-,,-,,-,2,,,-,1,,,NEW ENGLAND,20214102,
RHODE ISLAND,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20214107,POINT (-71.534637 41.572574)
OREGON,2021,41,,-,0,,,-,,-,,-,2,,6,,6,,OREGON,,20214161,POINT (-120.605279 43.940449)
DELAWARE,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20214129,POINT (-75.452394 38.994926)
ALABAMA,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20214139,POINT (-86.844516 32.756889)
KANSAS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20214122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20214134,POINT (-79.130883 35.52603)
GUAM,2021,41,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20214166,POINT (144.653198 13.3532)
NEW JERSEY,2021,41,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20214110,POINT (-74.655514 40.110253)
NEW MEXICO,2021,41,,-,0,,,-,,-,,-,1,,2,,47,,NEW MEXICO,,20214154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,41,,-,1,,,-,,-,,-,5,,53,,73,,,EAST NORTH CENTRAL,20214114,
TENNESSEE,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20214142,POINT (-86.343226 35.842998)
CONNECTICUT,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20214103,POINT (-72.738288 41.575155)
MARYLAND,2021,41,,-,1,,,-,,-,,-,2,,3,,4,,MARYLAND,,20214133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20214135,POINT (-80.864614 33.878572)
OKLAHOMA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20214146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20214165,POINT (145.725693 15.1834)
OHIO,2021,41,,-,1,,,-,,-,,-,2,,9,,11,,OHIO,,20214118,POINT (-82.70936 40.415534)
MINNESOTA,2021,41,,-,0,,,-,,-,,-,5,,80,,80,,MINNESOTA,,20214123,POINT (-94.198308 46.349153)
LOUISIANA,2021,41,,-,0,,,-,,-,,-,2,,6,,4,,LOUISIANA,,20214145,POINT (-91.840238 30.921314)
HAWAII,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20214160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,41,,-,1,,,-,,-,,-,2,,3,,4,,,SOUTH ATLANTIC,20214128,
PENNSYLVANIA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20214113,POINT (-77.838886 40.896694)
UTAH,2021,41,,-,0,,,-,,-,,-,5,,35,,41,,UTAH,,20214155,POINT (-111.678222 39.323779)
COLORADO,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20214150,POINT (-105.547832 38.998552)
VERMONT,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20214108,POINT (-72.662695 44.075252)
KENTUCKY,2021,41,,-,0,,,-,,-,,-,1,,7,,7,,KENTUCKY,,20214140,POINT (-85.290484 37.526683)
PUERTO RICO,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20214167,POINT (-66.414655 18.215692)
MAINE,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20214104,POINT (-69.06137 45.117911)
VIRGINIA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20214136,POINT (-78.666382 37.510861)
ARIZONA,2021,41,,-,0,,,-,,-,161,,366,,8931,,7751,,ARIZONA,,20214149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20214164,
WISCONSIN,2021,41,,-,0,,,-,,-,,-,2,,7,,20,,WISCONSIN,,20214119,POINT (-89.732969 44.639954)
IDAHO,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20214151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,41,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20214168,POINT (-64.840836 18.060868)
MICHIGAN,2021,41,,-,0,,,-,,-,,-,3,,34,,31,,MICHIGAN,,20214117,POINT (-85.730977 44.874798)
GEORGIA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20214132,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20214112,
ARKANSAS,2021,41,,-,0,,,-,,-,,-,1,,3,,7,,ARKANSAS,,20214144,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20214141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,41,,-,0,,,-,,-,,-,1,,,-,5,,SOUTH DAKOTA,,20214127,POINT (-100.230491 44.43614)
WYOMING,2021,41,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20214156,POINT (-107.55145 42.999627)
MISSOURI,2021,41,,-,0,,,-,,-,,-,2,,11,,18,,MISSOURI,,20214124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,41,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20214109,
TOTAL,2021,37,,-,1,,,-,,-,234,,577,,12820,,11397,,,TOTAL,20213770,
US RESIDENTS,2021,37,,-,1,,,-,,-,234,,577,,12818,,11395,,,US RESIDENTS,20213701,
NEW HAMPSHIRE,2021,37,,-,0,,,-,,-,,-,1,,,-,1,,NEW HAMPSHIRE,,20213706,POINT (-71.57139 43.680429)
NEW YORK,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20213711,POINT (-75.59655 42.921241)
PACIFIC,2021,37,,-,0,,,-,,-,59,,201,,4260,,4264,,,PACIFIC,20213757,
WEST SOUTH CENTRAL,2021,37,,-,1,,,-,,-,,-,2,,8,,9,,,WEST SOUTH CENTRAL,20213743,
NEBRASKA,2021,37,,-,0,,,-,,-,,-,1,,2,,13,,NEBRASKA,,20213725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,37,,-,0,,,-,,-,,-,1,,2,,7,,,EAST SOUTH CENTRAL,20213738,
NORTH DAKOTA,2021,37,,-,0,,,-,,-,,-,1,,2,,8,,NORTH DAKOTA,,20213726,POINT (-100.46931 47.446305)
NEVADA,2021,37,,-,0,,,-,,-,,-,8,,115,,124,,NEVADA,,20213753,POINT (-114.916992 39.283294)
ILLINOIS,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20213715,POINT (-89.148632 40.124144)
IOWA,2021,37,,-,1,,,-,,-,,N,,NC,,N,,N,IOWA,,20213721,POINT (-93.500061 42.074659)
TEXAS,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20213747,POINT (-99.317341 31.447238)
ALASKA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20213758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20213730,POINT (-77.016275 38.904785)
WASHINGTON,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20213762,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,37,,-,0,,,-,,-,,-,2,,,-,1,,,NEW ENGLAND,20213702,
RHODE ISLAND,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20213707,POINT (-71.534637 41.572574)
OREGON,2021,37,,-,0,,,-,,-,,-,2,,6,,6,,OREGON,,20213761,POINT (-120.605279 43.940449)
DELAWARE,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20213729,POINT (-75.452394 38.994926)
ALABAMA,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20213739,POINT (-86.844516 32.756889)
KANSAS,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20213722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20213734,POINT (-79.130883 35.52603)
GUAM,2021,37,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20213766,POINT (144.653198 13.3532)
CALIFORNIA,2021,41,,-,1,,1,,,-,59,,220,,4774,,5748,,CALIFORNIA,,20214159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20214137,POINT (-80.613729 38.642579)
FLORIDA,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20214131,POINT (-82.420978 28.260731)
MONTANA,2021,41,,-,0,,,-,,-,,-,3,,17,,13,,MONTANA,,20214152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,41,,-,1,,,-,,-,,-,7,,96,,126,,,WEST NORTH CENTRAL,20214120,
MASSACHUSETTS,2021,41,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20214105,POINT (-71.481104 42.151077)
NEW JERSEY,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20213710,POINT (-74.655514 40.110253)
NEW MEXICO,2021,37,,-,0,,,-,,-,,-,1,,,-,45,,NEW MEXICO,,20213754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,37,,-,1,,,-,,-,,-,4,,48,,66,,,EAST NORTH CENTRAL,20213714,
TENNESSEE,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20213742,POINT (-86.343226 35.842998)
CONNECTICUT,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20213703,POINT (-72.738288 41.575155)
MARYLAND,2021,37,,-,0,,,-,,-,,-,2,,3,,4,,MARYLAND,,20213733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20213735,POINT (-80.864614 33.878572)
OKLAHOMA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20213746,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20213765,POINT (145.725693 15.1834)
OHIO,2021,37,,-,1,,,-,,-,,-,2,,9,,9,,OHIO,,20213718,POINT (-82.70936 40.415534)
MINNESOTA,2021,37,,-,0,,,-,,-,,-,5,,80,,72,,MINNESOTA,,20213723,POINT (-94.198308 46.349153)
LOUISIANA,2021,37,,-,1,,,-,,-,,-,2,,5,,4,,LOUISIANA,,20213745,POINT (-91.840238 30.921314)
HAWAII,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20213760,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,37,,-,0,,,-,,-,,-,2,,3,,4,,,SOUTH ATLANTIC,20213728,
PENNSYLVANIA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20213713,POINT (-77.838886 40.896694)
UTAH,2021,37,,-,0,,,-,,-,,-,4,,32,,38,,UTAH,,20213755,POINT (-111.678222 39.323779)
COLORADO,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,COLORADO,,20213750,POINT (-105.547832 38.998552)
VERMONT,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20213708,POINT (-72.662695 44.075252)
KENTUCKY,2021,37,,-,0,,,-,,-,,-,1,,2,,7,,KENTUCKY,,20213740,POINT (-85.290484 37.526683)
PUERTO RICO,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20213767,POINT (-66.414655 18.215692)
MAINE,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20213704,POINT (-69.06137 45.117911)
VIRGINIA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20213736,POINT (-78.666382 37.510861)
ARIZONA,2021,37,,-,0,,,-,,-,175,,366,,8238,,6718,,ARIZONA,,20213749,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20213764,
WISCONSIN,2021,37,,-,0,,,-,,-,,-,1,,5,,19,,WISCONSIN,,20213719,POINT (-89.732969 44.639954)
IDAHO,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20213751,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20213768,POINT (-64.840836 18.060868)
MICHIGAN,2021,37,,-,0,,,-,,-,,-,3,,31,,27,,MICHIGAN,,20213717,POINT (-85.730977 44.874798)
GEORGIA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20213732,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20213712,
ARKANSAS,2021,37,,-,0,,,-,,-,,-,1,,3,,5,,ARKANSAS,,20213744,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20213741,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,20213727,POINT (-100.230491 44.43614)
WYOMING,2021,37,,-,0,,,-,,-,,-,1,,,-,,-,WYOMING,,20213756,POINT (-107.55145 42.999627)
MISSOURI,2021,37,,-,0,,,-,,-,,-,2,,11,,13,,MISSOURI,,20213724,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,37,,-,0,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20213709,
CALIFORNIA,2021,37,,-,0,,,-,,-,59,,200,,4254,,4258,,CALIFORNIA,,20213759,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20213737,POINT (-80.613729 38.642579)
FLORIDA,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20213731,POINT (-82.420978 28.260731)
MONTANA,2021,37,,-,0,,,-,,-,,-,3,,17,,13,,MONTANA,,20213752,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,37,,-,1,,,-,,-,,-,7,,95,,106,,,WEST NORTH CENTRAL,20213720,
MASSACHUSETTS,2021,37,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20213705,POINT (-71.481104 42.151077)
MOUNTAIN,2021,37,,-,0,,,-,,-,175,,378,,8402,,6938,,,MOUNTAIN,20213748,
INDIANA,2021,37,,-,0,,,-,,-,,-,1,,3,,11,,INDIANA,,20213716,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,37,,-,0,,,-,,-,,-,1,,1,,2,,,NON-US RESIDENTS,20213769,
US TERRITORIES,2021,37,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20213763,
PUERTO RICO,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20214967,POINT (-66.414655 18.215692)
MAINE,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20214904,POINT (-69.06137 45.117911)
VIRGINIA,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20214936,POINT (-78.666382 37.510861)
ARIZONA,2021,49,,-,0,,,-,,-,343,,367,,10861,,10205,,ARIZONA,,20214949,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,AMERICAN SAMOA,,20214964,
WISCONSIN,2021,49,,-,0,,,-,,-,,-,2,,10,,23,,WISCONSIN,,20214919,POINT (-89.732969 44.639954)
IDAHO,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20214951,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2021,49,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,20214968,
MICHIGAN,2021,49,,-,0,,,-,,-,,-,3,,37,,34,,MICHIGAN,,20214917,POINT (-85.730977 44.874798)
GEORGIA,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20214932,POINT (-83.426574 32.638481)
NEW YORK CITY,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,NEW YORK CITY,,20214912,
ARKANSAS,2021,49,,-,0,,,-,,-,,-,1,,3,,7,,ARKANSAS,,20214944,POINT (-92.439162 34.899825)
MISSISSIPPI,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20214941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2021,49,,-,0,,,-,,-,,-,1,,,-,6,,SOUTH DAKOTA,,20214927,POINT (-100.230491 44.43614)
WYOMING,2021,49,,-,0,,,-,,-,,-,0,,,-,1,,WYOMING,,20214956,POINT (-107.55145 42.999627)
MISSOURI,2021,49,,-,0,,,-,,-,,-,2,,10,,21,,MISSOURI,,20214924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2021,49,,-,1,,1,,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20214909,
CALIFORNIA,2021,49,,-,1,,1,,,-,50,,212,,7454,,6810,,CALIFORNIA,,20214959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20214937,POINT (-80.613729 38.642579)
FLORIDA,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20214931,POINT (-82.420978 28.260731)
MONTANA,2021,49,,-,0,,,-,,-,,-,3,,20,,13,,MONTANA,,20214952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,49,,-,0,,,-,,-,,-,6,,101,,142,,,WEST NORTH CENTRAL,20214920,
MASSACHUSETTS,2021,49,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20214905,POINT (-71.481104 42.151077)
MOUNTAIN,2021,49,,-,0,,,-,,-,343,,378,,11089,,10490,,,MOUNTAIN,20214948,
INDIANA,2021,49,,-,0,,,-,,-,,-,1,,3,,13,,INDIANA,,20214916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,49,,-,0,,,-,,-,,-,1,,2,,3,,,NON-US RESIDENTS,20214969,
US TERRITORIES,2021,49,,-,0,,,-,,-,,-,1,,1,,,-,,US TERRITORIES,20214963,
TOTAL,2021,38,,-,2,,,-,,-,200,,577,,13067,,11789,,,TOTAL,20213870,
US RESIDENTS,2021,38,,-,2,,,-,,-,200,,577,,13065,,11787,,,US RESIDENTS,20213801,
NEW HAMPSHIRE,2021,38,,-,0,,,-,,-,,-,1,,,-,1,,NEW HAMPSHIRE,,20213806,POINT (-71.57139 43.680429)
NEW YORK,2021,38,,-,1,,,-,,-,,-,0,,,-,,-,NEW YORK,,20213811,POINT (-75.59655 42.921241)
PACIFIC,2021,38,,-,1,,,-,,-,48,,201,,4362,,4409,,,PACIFIC,20213857,
WEST SOUTH CENTRAL,2021,38,,-,1,,,-,,-,,-,2,,8,,9,,,WEST SOUTH CENTRAL,20213843,
NEBRASKA,2021,38,,-,0,,,-,,-,,-,1,,3,,14,,NEBRASKA,,20213825,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,38,,-,0,,,-,,-,,-,1,,4,,7,,,EAST SOUTH CENTRAL,20213838,
NORTH DAKOTA,2021,38,,-,0,,,-,,-,,-,1,,2,,8,,NORTH DAKOTA,,20213826,POINT (-100.46931 47.446305)
NEVADA,2021,38,,-,0,,,-,,-,,-,8,,117,,130,,NEVADA,,20213853,POINT (-114.916992 39.283294)
ILLINOIS,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,ILLINOIS,,20213815,POINT (-89.148632 40.124144)
IOWA,2021,38,,-,1,,,-,,-,,N,,NC,,N,,N,IOWA,,20213821,POINT (-93.500061 42.074659)
TEXAS,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20213847,POINT (-99.317341 31.447238)
ALASKA,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20213858,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20213830,POINT (-77.016275 38.904785)
WASHINGTON,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20213862,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,38,,-,0,,,-,,-,,-,2,,,-,1,,,NEW ENGLAND,20213802,
RHODE ISLAND,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,20213807,POINT (-71.534637 41.572574)
OREGON,2021,38,,-,0,,,-,,-,,-,2,,6,,6,,OREGON,,20213861,POINT (-120.605279 43.940449)
DELAWARE,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20213829,POINT (-75.452394 38.994926)
ALABAMA,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,20213839,POINT (-86.844516 32.756889)
KANSAS,2021,38,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20213822,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20213834,POINT (-79.130883 35.52603)
GUAM,2021,38,,-,0,,,-,,-,,-,1,,1,,,-,GUAM,,20213866,POINT (144.653198 13.3532)
NEW JERSEY,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20213810,POINT (-74.655514 40.110253)
NEW MEXICO,2021,38,,-,0,,,-,,-,,-,1,,,-,47,,NEW MEXICO,,20213854,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,38,,-,1,,,-,,-,,-,4,,49,,70,,,EAST NORTH CENTRAL,20213814,
TENNESSEE,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20213842,POINT (-86.343226 35.842998)
CONNECTICUT,2021,38,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20213803,POINT (-72.738288 41.575155)
