Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2020†","Cholera, Cum 2020†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2020†","Coccidioidomycosis, Cum 2020†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
PUERTO RICO,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20203467,POINT (-66.414655 18.215692)
MAINE,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20203404,POINT (-69.06137 45.117911)
VIRGINIA,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20203436,POINT (-78.666382 37.510861)
ARIZONA,2020,34,,-,0,,,-,,-,176,,318,,5795,,6286,,ARIZONA,,20203449,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20203464,
WISCONSIN,2020,34,,-,0,,,-,,-,,-,1,,2,,7,,WISCONSIN,,20203419,POINT (-89.732969 44.639954)
IDAHO,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20203451,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20203468,POINT (-64.840836 18.060868)
MICHIGAN,2020,34,,-,0,,,-,2,,,-,2,,16,,31,,MICHIGAN,,20203417,POINT (-85.730977 44.874798)
GEORGIA,2020,34,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20203432,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,34,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20203412,
ARKANSAS,2020,34,,-,0,,,-,,-,,-,3,,4,,8,,ARKANSAS,,20203444,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20203441,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,34,,-,0,,,-,,-,,-,1,,,-,5,,SOUTH DAKOTA,,20203427,POINT (-100.230491 44.43614)
WYOMING,2020,34,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20203456,POINT (-107.55145 42.999627)
MISSOURI,2020,34,,-,0,,,-,,-,,-,2,,10,,19,,MISSOURI,,20203424,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,34,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20203409,
CALIFORNIA,2020,34,,-,0,,,-,,-,22,,175,,620,,5140,,CALIFORNIA,,20203459,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20203437,POINT (-80.613729 38.642579)
FLORIDA,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20203431,POINT (-82.420978 28.260731)
MONTANA,2020,34,,-,0,,,-,,-,,-,2,,8,,8,,MONTANA,,20203452,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,34,,-,0,,,-,3,,2,,7,,80,,95,,,WEST NORTH CENTRAL,20203420,
MASSACHUSETTS,2020,34,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20203405,POINT (-71.481104 42.151077)
MOUNTAIN,2020,34,,-,1,,,-,,-,176,,321,,5839,,6520,,,MOUNTAIN,20203448,
INDIANA,2020,34,,-,0,,,-,,-,,-,1,,2,,,-,INDIANA,,20203416,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,34,,-,1,,,-,,-,,-,1,,,-,3,,,NON-US RESIDENTS,20203469,
US TERRITORIES,2020,34,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20203463,
WEST NORTH CENTRAL,2020,36,,-,0,,,-,3,,,-,7,,84,,99,,,WEST NORTH CENTRAL,20203620,
MASSACHUSETTS,2020,36,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20203605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,36,,-,1,,,-,,-,394,,321,,6547,,6962,,,MOUNTAIN,20203648,
INDIANA,2020,36,,-,0,,,-,,-,,-,1,,2,,,-,INDIANA,,20203616,POINT (-86.2818 39.919991)
TOTAL,2020,42,,-,1,,,-,7,,291,,439,,9091,,14628,,,TOTAL,20204270,
US RESIDENTS,2020,42,,-,1,,,-,6,,291,,439,,9091,,14624,,,US RESIDENTS,20204201,
NEW HAMPSHIRE,2020,42,,-,0,,,-,,-,,-,1,,1,,1,,NEW HAMPSHIRE,,20204206,POINT (-71.57139 43.680429)
NEW YORK,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20204211,POINT (-75.59655 42.921241)
PACIFIC,2020,42,,-,1,,,-,,-,16,,152,,808,,6235,,,PACIFIC,20204257,
WEST SOUTH CENTRAL,2020,42,,-,0,,,-,,-,,-,3,,8,,24,,,WEST SOUTH CENTRAL,20204243,
NEBRASKA,2020,42,,-,0,,,-,,-,,-,2,,10,,6,,NEBRASKA,,20204225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,42,,-,0,,,-,,-,,-,1,,7,,2,,,EAST SOUTH CENTRAL,20204238,
NORTH DAKOTA,2020,42,,-,0,,,-,,-,,-,1,,2,,3,,NORTH DAKOTA,,20204226,POINT (-100.46931 47.446305)
NEVADA,2020,42,,-,0,,,-,,-,,-,5,,29,,93,,NEVADA,,20204253,POINT (-114.916992 39.283294)
ILLINOIS,2020,42,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20204215,POINT (-89.148632 40.124144)
IOWA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20204221,POINT (-93.500061 42.074659)
TOTAL,2020,26,,-,2,,,-,5,,217,,438,,4888,,8942,,,TOTAL,20202670,
US RESIDENTS,2020,26,,-,2,,,-,5,,217,,438,,4888,,8940,,,US RESIDENTS,20202601,
PACIFIC,2020,26,,-,0,,,-,,-,14,,175,,429,,4026,,,PACIFIC,20202657,
NEW HAMPSHIRE,2020,26,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20202606,POINT (-71.57139 43.680429)
NEW YORK,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20202611,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,26,,-,0,,,-,,-,,-,3,,7,,13,,,WEST SOUTH CENTRAL,20202643,
NEBRASKA,2020,26,,-,0,,,-,,-,1,,2,,8,,4,,NEBRASKA,,20202625,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,26,,-,0,,,-,,-,,-,1,,6,,2,,,EAST SOUTH CENTRAL,20202638,
NORTH DAKOTA,2020,26,,-,0,,,-,,-,,-,1,,2,,1,,NORTH DAKOTA,,20202626,POINT (-100.46931 47.446305)
NEVADA,2020,26,,-,1,,,-,,-,,-,7,,18,,47,,NEVADA,,20202653,POINT (-114.916992 39.283294)
ILLINOIS,2020,26,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20202615,POINT (-89.148632 40.124144)
IOWA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20202621,POINT (-93.500061 42.074659)
TEXAS,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20202647,POINT (-99.317341 31.447238)
ALASKA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20202658,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20202630,POINT (-77.016275 38.904785)
WASHINGTON,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20202662,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,26,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20202602,
RHODE ISLAND,2020,26,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20202607,POINT (-71.534637 41.572574)
OREGON,2020,26,,-,0,,,-,,-,,-,1,,3,,3,,OREGON,,20202661,POINT (-120.605279 43.940449)
DELAWARE,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20202629,POINT (-75.452394 38.994926)
ALABAMA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20202639,POINT (-86.844516 32.756889)
KANSAS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20202622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20202634,POINT (-79.130883 35.52603)
GUAM,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202666,POINT (144.653198 13.3532)
NEW JERSEY,2020,26,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20202610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,26,,-,0,,,-,,-,,-,9,,,-,76,,NEW MEXICO,,20202654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,26,,-,1,,,-,2,,,-,4,,18,,39,,,EAST NORTH CENTRAL,20202614,
TENNESSEE,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20202642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,26,,-,1,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20202603,POINT (-72.738288 41.575155)
MARYLAND,2020,26,,-,1,,,-,,-,,-,1,,1,,6,,MARYLAND,,20202633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20202635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20202646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20202665,POINT (145.725693 15.1834)
OHIO,2020,26,,-,0,,,-,,-,,-,3,,6,,7,,OHIO,,20202618,POINT (-82.70936 40.415534)
MINNESOTA,2020,26,,-,0,,,-,3,,,-,7,,42,,50,,MINNESOTA,,20202623,POINT (-94.198308 46.349153)
LOUISIANA,2020,26,,-,0,,,-,,-,,-,3,,4,,7,,LOUISIANA,,20202645,POINT (-91.840238 30.921314)
HAWAII,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20202660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,26,,-,1,,,-,,-,,-,1,,1,,6,,,SOUTH ATLANTIC,20202628,
PENNSYLVANIA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20202613,POINT (-77.838886 40.896694)
UTAH,2020,26,,-,0,,,-,,-,,-,4,,11,,32,,UTAH,,20202655,POINT (-111.678222 39.323779)
COLORADO,2020,26,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20202650,POINT (-105.547832 38.998552)
VERMONT,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20202608,POINT (-72.662695 44.075252)
KENTUCKY,2020,26,,-,0,,,-,,-,,-,1,,6,,2,,KENTUCKY,,20202640,POINT (-85.290484 37.526683)
PUERTO RICO,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20202667,POINT (-66.414655 18.215692)
MAINE,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20202604,POINT (-69.06137 45.117911)
VIRGINIA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20202636,POINT (-78.666382 37.510861)
ARIZONA,2020,26,,-,0,,,-,,-,202,,318,,4332,,4621,,ARIZONA,,20202649,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20202664,
WISCONSIN,2020,26,,-,0,,,-,,-,,-,1,,1,,7,,WISCONSIN,,20202619,POINT (-89.732969 44.639954)
IDAHO,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,IDAHO,,20202651,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20202668,POINT (-64.840836 18.060868)
TEXAS,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20204247,POINT (-99.317341 31.447238)
MICHIGAN,2020,26,,-,1,,,-,1,,,-,2,,11,,25,,MICHIGAN,,20202617,POINT (-85.730977 44.874798)
GEORGIA,2020,26,,-,1,,,-,,-,,N,,NC,,N,,N,GEORGIA,,20202632,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,26,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20202612,
ARKANSAS,2020,26,,-,0,,,-,,-,,-,2,,3,,6,,ARKANSAS,,20202644,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,MISSISSIPPI,,20202641,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,26,,-,0,,,-,,-,,-,1,,,-,4,,SOUTH DAKOTA,,20202627,POINT (-100.230491 44.43614)
WYOMING,2020,26,,-,0,,,-,,-,,-,1,,,-,1,,WYOMING,,20202656,POINT (-107.55145 42.999627)
MISSOURI,2020,26,,-,0,,,-,,-,,-,2,,9,,15,,MISSOURI,,20202624,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,26,,-,1,,,-,,-,,-,0,,,-,,-,,MIDDLE ATLANTIC,20202609,
CALIFORNIA,2020,26,,-,0,,,-,,-,14,,175,,426,,4023,,CALIFORNIA,,20202659,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,WEST VIRGINIA,,20202637,POINT (-80.613729 38.642579)
FLORIDA,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,FLORIDA,,20202631,POINT (-82.420978 28.260731)
MONTANA,2020,26,,-,0,,,-,,-,,-,2,,5,,3,,MONTANA,,20202652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,26,,-,0,,,-,3,,1,,7,,61,,74,,,WEST NORTH CENTRAL,20202620,
MASSACHUSETTS,2020,26,,-,0,,,-,,-,,N,,NC,,N,,N,MASSACHUSETTS,,20202605,POINT (-71.481104 42.151077)
MOUNTAIN,2020,26,,-,1,,,-,,-,202,,320,,4366,,4780,,,MOUNTAIN,20202648,
INDIANA,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,INDIANA,,20202616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,26,,-,1,,,-,,-,,-,1,,,-,2,,,NON-US RESIDENTS,20202669,
US TERRITORIES,2020,26,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20202663,
ALASKA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20204258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20204230,POINT (-77.016275 38.904785)
WASHINGTON,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20204262,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,42,,-,0,,,-,,-,,-,1,,1,,2,,,NEW ENGLAND,20204202,
RHODE ISLAND,2020,42,,-,0,,,-,,-,,-,0,,,-,1,,RHODE ISLAND,,20204207,POINT (-71.534637 41.572574)
OREGON,2020,42,,-,0,,,-,,-,,-,2,,6,,3,,OREGON,,20204261,POINT (-120.605279 43.940449)
DELAWARE,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20204229,POINT (-75.452394 38.994926)
ALABAMA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20204239,POINT (-86.844516 32.756889)
KANSAS,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20204222,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20204234,POINT (-79.130883 35.52603)
GUAM,2020,42,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20204266,POINT (144.653198 13.3532)
TOTAL,2020,31,,-,2,,,-,5,,192,,439,,5892,,10714,,,TOTAL,20203170,
PACIFIC,2020,31,,-,0,,,-,,-,2,,175,,556,,4677,,,PACIFIC,20203157,
NEVADA,2020,31,,-,0,,,-,,-,,-,7,,18,,61,,NEVADA,,20203153,POINT (-114.916992 39.283294)
ALASKA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20203158,POINT (-151.631889 63.631126)
WASHINGTON,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20203162,POINT (-120.592492 47.411715)
OREGON,2020,31,,-,0,,,-,,-,,-,2,,5,,3,,OREGON,,20203161,POINT (-120.605279 43.940449)
GUAM,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20203166,POINT (144.653198 13.3532)
NEW MEXICO,2020,31,,-,0,,,-,,-,,-,5,,,-,107,,NEW MEXICO,,20203154,POINT (-106.108388 34.421369)
NORTHERN MARIANA ISLANDS,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20203165,POINT (145.725693 15.1834)
NEW ENGLAND,2020,27,,-,1,,,-,,-,,-,1,,,-,,-,,NEW ENGLAND,20202702,
HAWAII,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,HAWAII,,20203160,POINT (-157.854309 21.361013)
NEW JERSEY,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20204210,POINT (-74.655514 40.110253)
NEW MEXICO,2020,42,,-,0,,,-,,-,,-,5,,,-,140,,NEW MEXICO,,20204254,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,42,,-,0,,,-,3,,,-,5,,37,,61,,,EAST NORTH CENTRAL,20204214,
TENNESSEE,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20204242,POINT (-86.343226 35.842998)
CONNECTICUT,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20204203,POINT (-72.738288 41.575155)
MARYLAND,2020,42,,-,0,,,-,,-,,-,1,,4,,7,,MARYLAND,,20204233,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20204235,POINT (-80.864614 33.878572)
OKLAHOMA,2020,42,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20204246,POINT (-97.508297 35.583449)
US RESIDENTS,2020,31,,-,2,,,-,5,,192,,439,,5892,,10711,,,US RESIDENTS,20203101,
NEW HAMPSHIRE,2020,31,,-,0,,,-,,-,,-,1,,1,,,-,NEW HAMPSHIRE,,20203106,POINT (-71.57139 43.680429)
NEW YORK,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20203111,POINT (-75.59655 42.921241)
WEST SOUTH CENTRAL,2020,31,,-,0,,,-,,-,,-,3,,8,,17,,,WEST SOUTH CENTRAL,20203143,
NEBRASKA,2020,31,,-,0,,,-,,-,,-,2,,8,,5,,NEBRASKA,,20203125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,31,,-,0,,,-,,-,,-,1,,6,,2,,,EAST SOUTH CENTRAL,20203138,
NORTH DAKOTA,2020,31,,-,0,,,-,,-,,-,1,,2,,2,,NORTH DAKOTA,,20203126,POINT (-100.46931 47.446305)
ILLINOIS,2020,31,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20203115,POINT (-89.148632 40.124144)
IOWA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20203121,POINT (-93.500061 42.074659)
TEXAS,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20203147,POINT (-99.317341 31.447238)
DISTRICT OF COLUMBIA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20203130,POINT (-77.016275 38.904785)
NEW ENGLAND,2020,31,,-,0,,,-,,-,,-,1,,1,,1,,,NEW ENGLAND,20203102,
RHODE ISLAND,2020,31,,-,0,,,-,,-,,-,0,,,-,1,,RHODE ISLAND,,20203107,POINT (-71.534637 41.572574)
DELAWARE,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20203129,POINT (-75.452394 38.994926)
ALABAMA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20203139,POINT (-86.844516 32.756889)
KANSAS,2020,31,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20203122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20203134,POINT (-79.130883 35.52603)
NEW JERSEY,2020,31,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20203110,POINT (-74.655514 40.110253)
EAST NORTH CENTRAL,2020,31,,-,1,,,-,2,,,-,5,,26,,44,,,EAST NORTH CENTRAL,20203114,
TENNESSEE,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20203142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20203103,POINT (-72.738288 41.575155)
MARYLAND,2020,31,,-,1,,,-,,-,1,,1,,3,,6,,MARYLAND,,20203133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20203135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,OKLAHOMA,,20203146,POINT (-97.508297 35.583449)
OHIO,2020,31,,-,0,,,-,,-,,-,3,,7,,8,,OHIO,,20203118,POINT (-82.70936 40.415534)
MINNESOTA,2020,31,,-,0,,,-,3,,,-,7,,49,,61,,MINNESOTA,,20203123,POINT (-94.198308 46.349153)
LOUISIANA,2020,31,,-,0,,,-,,-,,-,3,,4,,9,,LOUISIANA,,20203145,POINT (-91.840238 30.921314)
SOUTH ATLANTIC,2020,31,,-,1,,,-,,-,1,,1,,3,,6,,,SOUTH ATLANTIC,20203128,
PENNSYLVANIA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,PENNSYLVANIA,,20203113,POINT (-77.838886 40.896694)
UTAH,2020,31,,-,0,,,-,,-,,-,4,,11,,37,,UTAH,,20203155,POINT (-111.678222 39.323779)
COLORADO,2020,31,,-,1,,,-,,-,,N,,NC,,N,,N,COLORADO,,20203150,POINT (-105.547832 38.998552)
VERMONT,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,VERMONT,,20203108,POINT (-72.662695 44.075252)
TOTAL,2020,27,,-,2,,,-,5,,123,,439,,5045,,9289,,,TOTAL,20202770,
US RESIDENTS,2020,27,,-,2,,,-,5,,123,,439,,5045,,9287,,,US RESIDENTS,20202701,
NEW HAMPSHIRE,2020,27,,-,0,,,-,,-,,-,1,,,-,,-,NEW HAMPSHIRE,,20202706,POINT (-71.57139 43.680429)
NEW YORK,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK,,20202711,POINT (-75.59655 42.921241)
PACIFIC,2020,27,,-,0,,,-,,-,2,,175,,474,,4158,,,PACIFIC,20202757,
WEST SOUTH CENTRAL,2020,27,,-,0,,,-,,-,,-,3,,8,,14,,,WEST SOUTH CENTRAL,20202743,
NEBRASKA,2020,27,,-,0,,,-,,-,,-,2,,8,,4,,NEBRASKA,,20202725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,27,,-,0,,,-,,-,,-,1,,6,,2,,,EAST SOUTH CENTRAL,20202738,
NORTH DAKOTA,2020,27,,-,0,,,-,,-,,-,1,,2,,1,,NORTH DAKOTA,,20202726,POINT (-100.46931 47.446305)
NEVADA,2020,27,,-,1,,,-,,-,,-,7,,18,,51,,NEVADA,,20202753,POINT (-114.916992 39.283294)
ILLINOIS,2020,27,,-,0,,,-,1,,,N,,NC,,N,,N,ILLINOIS,,20202715,POINT (-89.148632 40.124144)
IOWA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,IOWA,,20202721,POINT (-93.500061 42.074659)
TEXAS,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,TEXAS,,20202747,POINT (-99.317341 31.447238)
KENTUCKY,2020,31,,-,0,,,-,,-,,-,1,,6,,2,,KENTUCKY,,20203140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,PUERTO RICO,,20203167,POINT (-66.414655 18.215692)
MAINE,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,MAINE,,20203104,POINT (-69.06137 45.117911)
VIRGINIA,2020,31,,-,0,,,-,,-,,N,,NC,,N,,N,VIRGINIA,,20203136,POINT (-78.666382 37.510861)
ALASKA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,ALASKA,,20202758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,DISTRICT OF COLUMBIA,,20202730,POINT (-77.016275 38.904785)
WASHINGTON,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,WASHINGTON,,20202762,POINT (-120.592492 47.411715)
RHODE ISLAND,2020,27,,-,0,,,-,,-,,-,1,,,-,,-,RHODE ISLAND,,20202707,POINT (-71.534637 41.572574)
OREGON,2020,27,,-,0,,,-,,-,,-,1,,4,,3,,OREGON,,20202761,POINT (-120.605279 43.940449)
DELAWARE,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,20202729,POINT (-75.452394 38.994926)
ALABAMA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,ALABAMA,,20202739,POINT (-86.844516 32.756889)
KANSAS,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,20202722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,NORTH CAROLINA,,20202734,POINT (-79.130883 35.52603)
GUAM,2020,27,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20202766,POINT (144.653198 13.3532)
NEW JERSEY,2020,27,,-,1,,,-,,-,,N,,NC,,N,,N,NEW JERSEY,,20202710,POINT (-74.655514 40.110253)
NEW MEXICO,2020,27,,-,0,,,-,,-,,-,11,,,-,89,,NEW MEXICO,,20202754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,27,,-,1,,,-,2,,,-,4,,19,,41,,,EAST NORTH CENTRAL,20202714,
TENNESSEE,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,TENNESSEE,,20202742,POINT (-86.343226 35.842998)
CONNECTICUT,2020,27,,-,1,,,-,,-,,N,,NC,,N,,N,CONNECTICUT,,20202703,POINT (-72.738288 41.575155)
MARYLAND,2020,27,,-,1,,,-,,-,,-,1,,1,,6,,MARYLAND,,20202733,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,27,,-,0,,,-,,-,,N,,NC,,N,,N,SOUTH CAROLINA,,20202735,POINT (-80.864614 33.878572)
