Reporting Area,MMWR Year,MMWR Week,"Cholera, Current week","Cholera, Current week, flag","Cholera, Previous 52 weeks Max†","Cholera, Previous 52 weeks Max†, flag","Cholera, Cum 2019†","Cholera, Cum 2019†, flag","Cholera, Cum 2018†","Cholera, Cum 2018†, flag","Coccidioidomycosis, Current week","Coccidioidomycosis, Current week, flag","Coccidioidomycosis, Previous 52 weeks Max†","Coccidioidomycosis, Previous 52 weeks Max†, flag","Coccidioidomycosis, Cum 2019†","Coccidioidomycosis, Cum 2019†, flag","Coccidioidomycosis, Cum 2018†","Coccidioidomycosis, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
MIDDLE ATLANTIC,2019,24,,-,1,,,-,1,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192409
NEW JERSEY,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192410
NEW YORK,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192411
NEW YORK CITY,2019,24,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192412
PENNSYLVANIA,2019,24,,-,1,,,-,1,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192413
EAST NORTH CENTRAL,2019,24,,-,1,,1,,,-,,-,5,,15,,52,,,EAST NORTH CENTRAL,20192414
ILLINOIS,2019,24,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20192415
INDIANA,2019,24,,-,0,,,-,,-,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20192416
MICHIGAN,2019,24,,-,1,,1,,,-,,-,4,,7,,20,,"MICHIGAN
(44.874798, -85.730977)",,20192417
OHIO,2019,24,,-,0,,,-,,-,,-,5,,7,,12,,"OHIO
(40.415534, -82.70936)",,20192418
WISCONSIN,2019,24,,-,0,,,-,,-,,-,2,,1,,17,,"WISCONSIN
(44.639954, -89.732969)",,20192419
WEST NORTH CENTRAL,2019,24,,-,0,,,-,,-,,-,6,,13,,73,,,WEST NORTH CENTRAL,20192420
IOWA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20192421
KANSAS,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20192422
MINNESOTA,2019,24,,-,0,,,-,,-,,-,5,,,-,55,,"MINNESOTA
(46.349153, -94.198308)",,20192423
MISSOURI,2019,24,,-,0,,,-,,-,,-,3,,8,,15,,"MISSOURI
(38.3675, -92.477244)",,20192424
NEBRASKA,2019,24,,-,0,,,-,,-,,-,2,,2,,2,,"NEBRASKA
(41.527099, -99.810595)",,20192425
NORTH DAKOTA,2019,24,,-,0,,,-,,-,,-,1,,,-,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20192426
SOUTH DAKOTA,2019,24,,-,0,,,-,,-,,-,1,,3,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192427
SOUTH ATLANTIC,2019,24,,-,1,,,-,,-,,-,1,,5,,3,,,SOUTH ATLANTIC,20192428
DELAWARE,2019,24,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192429
DISTRICT OF COLUMBIA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192430
FLORIDA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20192431
GEORGIA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20192432
MARYLAND,2019,24,,-,0,,,-,,-,,-,1,,5,,3,,"MARYLAND
(38.946466, -76.687282)",,20192433
NORTH CAROLINA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20192434
SOUTH CAROLINA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192435
VIRGINIA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20192436
WEST VIRGINIA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20192437
EAST SOUTH CENTRAL,2019,24,,-,0,,,-,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20192438
ALABAMA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192439
KENTUCKY,2019,24,,-,0,,,-,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192440
MISSISSIPPI,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192441
TENNESSEE,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20192442
WEST SOUTH CENTRAL,2019,24,,-,1,,,-,1,,,-,2,,8,,14,,,WEST SOUTH CENTRAL,20192443
ARKANSAS,2019,24,,-,0,,,-,,-,,-,1,,6,,4,,"ARKANSAS
(34.899825, -92.439162)",,20192444
LOUISIANA,2019,24,,-,1,,,-,1,,,-,2,,2,,10,,"LOUISIANA
(30.921314, -91.840238)",,20192445
OKLAHOMA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192446
TEXAS,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20192447
MOUNTAIN,2019,24,,-,1,,,-,,-,,-,287,,3845,,3839,,,MOUNTAIN,20192448
ARIZONA,2019,24,,-,1,,,-,,-,,-,284,,3796,,3660,,"ARIZONA
(34.293239, -111.664616)",,20192449
COLORADO,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20192450
IDAHO,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192451
MONTANA,2019,24,,-,0,,,-,,-,,-,2,,3,,11,,"MONTANA
(47.033521, -109.645127)",,20192452
NEVADA,2019,24,,-,0,,,-,,-,,-,5,,38,,100,,"NEVADA
(39.283294, -114.916992)",,20192453
NEW MEXICO,2019,24,,-,0,,,-,,-,,-,4,,7,,34,,"NEW MEXICO
(34.421369, -106.108388)",,20192454
UTAH,2019,24,,-,0,,,-,,-,,-,4,,,-,31,,"UTAH
(39.323779, -111.678222)",,20192455
WYOMING,2019,24,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192456
PACIFIC,2019,24,,-,1,,,-,1,,26,,225,,3028,,3676,,,PACIFIC,20192457
ALASKA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192458
CALIFORNIA,2019,24,,-,1,,,-,1,,26,,225,,3027,,3670,,"CALIFORNIA
(37.211164, -119.662127)",,20192459
HAWAII,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192460
OREGON,2019,24,,-,0,,,-,,-,,-,1,,1,,6,,"OREGON
(43.940449, -120.605279)",,20192461
WASHINGTON,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192462
US TERRITORIES,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192463
AMERICAN SAMOA,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192464
NORTHERN MARIANA ISLANDS,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192465
GUAM,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192466
PUERTO RICO,2019,24,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192467
U.S. VIRGIN ISLANDS,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192468
NON-US RESIDENTS,2019,24,,-,,NC,,-,,NP,,-,,NC,1,,,NP,,NON-US RESIDENTS,20192469
TOTAL,2019,24,,-,2,,2,,3,,26,,449,,6916,,7660,,,TOTAL,20192470
US RESIDENTS,2019,25,,-,2,,1,,4,,241,,451,,7891,,7904,,,US RESIDENTS,20192501
NEW ENGLAND,2019,25,,-,0,,,-,,-,,-,1,,,-,3,,,NEW ENGLAND,20192502
CONNECTICUT,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20192503
MAINE,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20192504
MASSACHUSETTS,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20192505
NEW HAMPSHIRE,2019,25,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192506
RHODE ISLAND,2019,25,,-,0,,,-,,-,,-,1,,,-,2,,"RHODE ISLAND
(41.572574, -71.534637)",,20192507
VERMONT,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20192508
MIDDLE ATLANTIC,2019,25,,-,1,,,-,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192509
NEW JERSEY,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192510
NEW YORK,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192511
NEW YORK CITY,2019,25,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192512
PENNSYLVANIA,2019,25,,-,1,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192513
EAST NORTH CENTRAL,2019,25,,-,1,,1,,,-,,-,5,,17,,52,,,EAST NORTH CENTRAL,20192514
ILLINOIS,2019,25,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20192515
INDIANA,2019,25,,-,0,,,-,,-,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20192516
MICHIGAN,2019,25,,-,1,,1,,,-,,-,4,,9,,20,,"MICHIGAN
(44.874798, -85.730977)",,20192517
OHIO,2019,25,,-,0,,,-,,-,,-,5,,7,,12,,"OHIO
(40.415534, -82.70936)",,20192518
WISCONSIN,2019,25,,-,0,,,-,,-,,-,2,,1,,17,,"WISCONSIN
(44.639954, -89.732969)",,20192519
WEST NORTH CENTRAL,2019,25,,-,0,,,-,,-,,-,6,,14,,77,,,WEST NORTH CENTRAL,20192520
IOWA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20192521
KANSAS,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20192522
MINNESOTA,2019,25,,-,0,,,-,,-,,-,5,,,-,56,,"MINNESOTA
(46.349153, -94.198308)",,20192523
MISSOURI,2019,25,,-,0,,,-,,-,,-,3,,8,,18,,"MISSOURI
(38.3675, -92.477244)",,20192524
NEBRASKA,2019,25,,-,0,,,-,,-,,-,2,,3,,2,,"NEBRASKA
(41.527099, -99.810595)",,20192525
NORTH DAKOTA,2019,25,,-,0,,,-,,-,,-,1,,,-,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20192526
SOUTH DAKOTA,2019,25,,-,0,,,-,,-,,-,1,,3,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192527
SOUTH ATLANTIC,2019,25,,-,1,,,-,,-,,-,1,,6,,3,,,SOUTH ATLANTIC,20192528
DELAWARE,2019,25,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192529
DISTRICT OF COLUMBIA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192530
FLORIDA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20192531
GEORGIA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20192532
MARYLAND,2019,25,,-,0,,,-,,-,,-,1,,6,,3,,"MARYLAND
(38.946466, -76.687282)",,20192533
NORTH CAROLINA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20192534
SOUTH CAROLINA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192535
VIRGINIA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20192536
WEST VIRGINIA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20192537
EAST SOUTH CENTRAL,2019,25,,-,0,,,-,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20192538
ALABAMA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192539
KENTUCKY,2019,25,,-,0,,,-,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192540
MISSISSIPPI,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192541
TENNESSEE,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20192542
WEST SOUTH CENTRAL,2019,25,,-,1,,,-,1,,,-,2,,8,,14,,,WEST SOUTH CENTRAL,20192543
ARKANSAS,2019,25,,-,0,,,-,,-,,-,1,,6,,4,,"ARKANSAS
(34.899825, -92.439162)",,20192544
LOUISIANA,2019,25,,-,1,,,-,1,,,-,2,,2,,10,,"LOUISIANA
(30.921314, -91.840238)",,20192545
OKLAHOMA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192546
TEXAS,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20192547
MOUNTAIN,2019,25,,-,1,,,-,,-,216,,287,,4577,,3977,,,MOUNTAIN,20192548
ARIZONA,2019,25,,-,1,,,-,,-,216,,284,,4525,,3792,,"ARIZONA
(34.293239, -111.664616)",,20192549
COLORADO,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20192550
IDAHO,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192551
MONTANA,2019,25,,-,0,,,-,,-,,-,2,,3,,12,,"MONTANA
(47.033521, -109.645127)",,20192552
NEVADA,2019,25,,-,0,,,-,,-,,-,5,,41,,104,,"NEVADA
(39.283294, -114.916992)",,20192553
NEW MEXICO,2019,25,,-,0,,,-,,-,,-,4,,7,,34,,"NEW MEXICO
(34.421369, -106.108388)",,20192554
UTAH,2019,25,,-,0,,,-,,-,,-,4,,,-,32,,"UTAH
(39.323779, -111.678222)",,20192555
WYOMING,2019,25,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192556
PACIFIC,2019,25,,-,1,,,-,1,,25,,228,,3268,,3778,,,PACIFIC,20192557
ALASKA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192558
CALIFORNIA,2019,25,,-,1,,,-,1,,25,,228,,3266,,3772,,"CALIFORNIA
(37.211164, -119.662127)",,20192559
HAWAII,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192560
OREGON,2019,25,,-,0,,,-,,-,,-,1,,2,,6,,"OREGON
(43.940449, -120.605279)",,20192561
WASHINGTON,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192562
US TERRITORIES,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192563
AMERICAN SAMOA,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192564
NORTHERN MARIANA ISLANDS,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192565
GUAM,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192566
PUERTO RICO,2019,25,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192567
U.S. VIRGIN ISLANDS,2019,25,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192568
NON-US RESIDENTS,2019,25,,-,,NC,,-,,NP,,-,,NC,1,,,NP,,NON-US RESIDENTS,20192569
TOTAL,2019,25,,-,2,,1,,4,,241,,451,,7892,,7904,,,TOTAL,20192570
US RESIDENTS,2019,26,,-,2,,1,,4,,238,,451,,8195,,8197,,,US RESIDENTS,20192601
NEW ENGLAND,2019,26,,-,0,,,-,,-,,-,1,,,-,3,,,NEW ENGLAND,20192602
CONNECTICUT,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20192603
MAINE,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20192604
MASSACHUSETTS,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20192605
NEW HAMPSHIRE,2019,26,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192606
RHODE ISLAND,2019,26,,-,0,,,-,,-,,-,1,,,-,2,,"RHODE ISLAND
(41.572574, -71.534637)",,20192607
VERMONT,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20192608
MIDDLE ATLANTIC,2019,26,,-,1,,,-,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192609
NEW JERSEY,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192610
NEW YORK,2019,26,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192611
NEW YORK CITY,2019,26,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192612
PENNSYLVANIA,2019,26,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192613
EAST NORTH CENTRAL,2019,26,,-,1,,1,,,-,,-,5,,22,,53,,,EAST NORTH CENTRAL,20192614
ILLINOIS,2019,26,,-,1,,,-,,-,,N,,NC,,N,,N,"ILLINOIS
(40.124144, -89.148632)",,20192615
INDIANA,2019,26,,-,0,,,-,,-,,-,1,,,-,3,,"INDIANA
(39.919991, -86.2818)",,20192616
MICHIGAN,2019,26,,-,1,,1,,,-,,-,4,,14,,20,,"MICHIGAN
(44.874798, -85.730977)",,20192617
OHIO,2019,26,,-,0,,,-,,-,,-,5,,7,,12,,"OHIO
(40.415534, -82.70936)",,20192618
WISCONSIN,2019,26,,-,0,,,-,,-,,-,2,,1,,18,,"WISCONSIN
(44.639954, -89.732969)",,20192619
WEST NORTH CENTRAL,2019,26,,-,0,,,-,,-,,-,6,,15,,79,,,WEST NORTH CENTRAL,20192620
IOWA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"IOWA
(42.074659, -93.500061)",,20192621
KANSAS,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"KANSAS
(38.484729, -98.38018)",,20192622
MINNESOTA,2019,26,,-,0,,,-,,-,,-,5,,,-,57,,"MINNESOTA
(46.349153, -94.198308)",,20192623
MISSOURI,2019,26,,-,0,,,-,,-,,-,2,,9,,19,,"MISSOURI
(38.3675, -92.477244)",,20192624
NEBRASKA,2019,26,,-,0,,,-,,-,,-,2,,3,,2,,"NEBRASKA
(41.527099, -99.810595)",,20192625
NORTH DAKOTA,2019,26,,-,0,,,-,,-,,-,1,,,-,1,,"NORTH DAKOTA
(47.446305, -100.46931)",,20192626
SOUTH DAKOTA,2019,26,,-,0,,,-,,-,,-,1,,3,,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192627
SOUTH ATLANTIC,2019,26,,-,1,,,-,,-,,-,1,,6,,3,,,SOUTH ATLANTIC,20192628
DELAWARE,2019,26,,-,1,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192629
DISTRICT OF COLUMBIA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192630
FLORIDA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"FLORIDA
(28.260731, -82.420978)",,20192631
GEORGIA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"GEORGIA
(32.638481, -83.426574)",,20192632
MARYLAND,2019,26,,-,0,,,-,,-,,-,1,,6,,3,,"MARYLAND
(38.946466, -76.687282)",,20192633
NORTH CAROLINA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"NORTH CAROLINA
(35.52603, -79.130883)",,20192634
SOUTH CAROLINA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192635
VIRGINIA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"VIRGINIA
(37.510861, -78.666382)",,20192636
WEST VIRGINIA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"WEST VIRGINIA
(38.642579, -80.613729)",,20192637
EAST SOUTH CENTRAL,2019,26,,-,0,,,-,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20192638
ALABAMA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"ALABAMA
(32.756889, -86.844516)",,20192639
KENTUCKY,2019,26,,-,0,,,-,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20192640
MISSISSIPPI,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"MISSISSIPPI
(32.713378, -89.65344)",,20192641
TENNESSEE,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"TENNESSEE
(35.842998, -86.343226)",,20192642
WEST SOUTH CENTRAL,2019,26,,-,1,,,-,1,,,-,2,,8,,14,,,WEST SOUTH CENTRAL,20192643
ARKANSAS,2019,26,,-,0,,,-,,-,,-,1,,6,,4,,"ARKANSAS
(34.899825, -92.439162)",,20192644
LOUISIANA,2019,26,,-,1,,,-,1,,,-,2,,2,,10,,"LOUISIANA
(30.921314, -91.840238)",,20192645
OKLAHOMA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"OKLAHOMA
(35.583449, -97.508297)",,20192646
TEXAS,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"TEXAS
(31.447238, -99.317341)",,20192647
MOUNTAIN,2019,26,,-,1,,,-,,-,213,,287,,4738,,4141,,,MOUNTAIN,20192648
ARIZONA,2019,26,,-,1,,,-,,-,213,,284,,4686,,3955,,"ARIZONA
(34.293239, -111.664616)",,20192649
COLORADO,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"COLORADO
(38.998552, -105.547832)",,20192650
IDAHO,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"IDAHO
(44.389073, -114.659366)",,20192651
MONTANA,2019,26,,-,0,,,-,,-,,-,2,,3,,12,,"MONTANA
(47.033521, -109.645127)",,20192652
NEVADA,2019,26,,-,0,,,-,,-,,-,5,,41,,104,,"NEVADA
(39.283294, -114.916992)",,20192653
NEW MEXICO,2019,26,,-,0,,,-,,-,,-,4,,7,,35,,"NEW MEXICO
(34.421369, -106.108388)",,20192654
UTAH,2019,26,,-,0,,,-,,-,,-,4,,,-,32,,"UTAH
(39.323779, -111.678222)",,20192655
WYOMING,2019,26,,-,0,,,-,,-,,-,1,,1,,3,,"WYOMING
(42.999627, -107.55145)",,20192656
PACIFIC,2019,26,,-,1,,,-,1,,25,,229,,3405,,3904,,,PACIFIC,20192657
ALASKA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"ALASKA
(63.631126, -151.631889)",,20192658
CALIFORNIA,2019,26,,-,1,,,-,1,,25,,229,,3403,,3898,,"CALIFORNIA
(37.211164, -119.662127)",,20192659
HAWAII,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"HAWAII
(21.361013, -157.854309)",,20192660
OREGON,2019,26,,-,0,,,-,,-,,-,1,,2,,6,,"OREGON
(43.940449, -120.605279)",,20192661
WASHINGTON,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"WASHINGTON
(47.411715, -120.592492)",,20192662
US TERRITORIES,2019,26,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192663
AMERICAN SAMOA,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,,AMERICAN SAMOA,20192664
NORTHERN MARIANA ISLANDS,2019,26,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192665
GUAM,2019,26,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192666
PUERTO RICO,2019,26,,-,0,,,-,,-,,N,,NC,,N,,N,"PUERTO RICO
(18.215692, -66.414655)",,20192667
U.S. VIRGIN ISLANDS,2019,26,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192668
NON-US RESIDENTS,2019,26,,-,,NC,,-,,NP,,-,,NC,1,,,NP,,NON-US RESIDENTS,20192669
TOTAL,2019,26,,-,2,,1,,4,,238,,451,,8196,,8197,,,TOTAL,20192670
US RESIDENTS,2019,27,,-,2,,1,,4,,185,,452,,8571,,8497,,,US RESIDENTS,20192701
NEW ENGLAND,2019,27,,-,0,,,-,,-,,-,1,,,-,3,,,NEW ENGLAND,20192702
CONNECTICUT,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"CONNECTICUT
(41.575155, -72.738288)",,20192703
MAINE,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"MAINE
(45.117911, -69.06137)",,20192704
MASSACHUSETTS,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"MASSACHUSETTS
(42.151077, -71.481104)",,20192705
NEW HAMPSHIRE,2019,27,,-,0,,,-,,-,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192706
RHODE ISLAND,2019,27,,-,0,,,-,,-,,-,1,,,-,2,,"RHODE ISLAND
(41.572574, -71.534637)",,20192707
VERMONT,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"VERMONT
(44.075252, -72.662695)",,20192708
MIDDLE ATLANTIC,2019,27,,-,1,,,-,2,,,-,0,,,-,,-,,MIDDLE ATLANTIC,20192709
NEW JERSEY,2019,27,,-,0,,,-,,-,,N,,NC,,N,,N,"NEW JERSEY
(40.110253, -74.655514)",,20192710
NEW YORK,2019,27,,-,0,,,-,,-,,-,0,,,-,,-,"NEW YORK
(42.921241, -75.59655)",,20192711
NEW YORK CITY,2019,27,,-,1,,,-,,-,,N,,NC,,N,,N,,NEW YORK CITY,20192712
PENNSYLVANIA,2019,27,,-,0,,,-,2,,,N,,NC,,N,,N,"PENNSYLVANIA
(40.896694, -77.838886)",,20192713
